#redshift(0)	 ID(1)	hostHalo(2)	numSubStruct(3)	Mvir(4)	npart(5)	Xc(6)	Yc(7)	Zc(8)	VXc(9)	VYc(10)	VZc(11)	Rvir(12)	Rmax(13)	r2(14)	mbp_offset(15)	com_offset(16)	Vmax(17)	v_esc(18)	sigV(19)	lambda(20)	lambdaE(21)	Lx(22)	Ly(23)	Lz(24)	b(25)	c(26)	Eax(27)	Eay(28)	Eaz(29)	Ebx(30)	Eby(31)	Ebz(32)	Ecx(33)	Ecy(34)	Ecz(35)	ovdens(36)	nbins(37)	fMhires(38)	Ekin(39)	Epot(40)	SurfP(41)	Phi0(42)	cNFW(43)	mbp_Vx(44)	mbp_Vy(45)	mbp_Vz(46)	mbp_x(47)	mbp_y(48)	mbp_z(49)	com_x(50)	com_y(51)	com_z(52)	n_gas(53)	M_gas(54)	lambda_gas(55)	lambdaE_gas(56)	Lx_gas(57)	Ly_gas(58)	Lz_gas(59)	b_gas(60)	c_gas(61)	Eax_gas(62)	Eay_gas(63)	Eaz_gas(64)	Ebx_gas(65)	Eby_gas(66)	Ebz_gas(67)	Ecx_gas(68)	Ecy_gas(69)	Ecz_gas(70)	Ekin_gas(71)	Epot_gas(72)	n_star(73)	M_star(74)	lambda_star(75)	lambdaE_star(76)	Lx_star(77)	Ly_star(78)	Lz_star(79)	b_star(80)	c_star(81)	Eax_star(82)	Eay_star(83)	Eaz_star(84)	Ebx_star(85)	Eby_star(86)	Ebz_star(87)	Ecx_star(88)	Ecy_star(89)	Ecz_star(90)	Ekin_star(91)	Epot_star(92)	
0.002000	         0	        -1	       878	 8.02618e+11	  51480959	  29397.57066152	  30972.67988957	  32471.25330995	  -44.75	   71.56	   95.42	    192.30	     23.59	   0.02444	   0.15725	   2.41128	  201.05	  189.623628	  191.80	  0.020594	    0.027962	      0.2825	      0.1884	     -0.9406	  0.882792	  0.835927	  0.237423	  0.929298	 -0.282904	  0.943890	 -0.289523	 -0.158896	  0.229569	  0.229305	  0.945895	   97.42	    44	0.999425	 1.47633e+16	-2.80647e+16	-8.91644e+14	      384205	     23.1785	  101.08	  266.59	   54.42	       29.397608	       30.972805	       32.471341	       29397.218	       30970.554	       32472.335	  10999745	 5.95034e+10	  0.056606	  0.019341	  0.069481	  0.205272	 -0.976236	  0.967652	  0.919499	  0.041835	  0.984290	 -0.171530	  0.995636	 -0.026736	  0.089414	 -0.083423	  0.174522	  0.981113	 1.13974e+15	-1.98198e+15	  12665430	 5.61451e+10	  0.013230	  0.010292	 -0.199688	 -0.017522	 -0.979703	  0.526544	  0.373205	  0.608991	  0.786102	 -0.105704	  0.790546	 -0.612402	  0.000242	  0.064543	  0.083711	  0.994398	 1.80135e+15	-6.16736e+15
0.003000	         0	        -1	       859	 8.02126e+11	  51447370	  29398.38599022	  30971.47365753	  32469.71962228	  -44.68	   71.57	   95.39	    192.40	     23.68	   0.02441	   1.10362	   2.40323	  200.93	  189.669071	  191.86	  0.020724	    0.028126	       0.282	      0.1872	      -0.941	  0.881005	  0.834457	  0.239139	  0.928201	 -0.285052	  0.944222	 -0.290752	 -0.154624	  0.226401	  0.232176	  0.945958	   97.55	    44	0.999423	 1.47633e+16	-2.80507e+16	-8.91079e+14	      385118	     23.1121	  205.07	  -13.32	   15.90	       29.398702	        30.97253	       32.469667	       29397.991	       30969.374	        32470.82	  10996696	 5.94866e+10	  0.056753	  0.019288	  0.069303	  0.205104	 -0.976284	  0.967497	  0.920002	  0.037737	  0.982321	 -0.183361	  0.995569	 -0.021142	  0.091631	 -0.086134	  0.186006	  0.978766	 1.15635e+15	-1.98958e+15	  12651337	 5.60762e+10	  0.013221	  0.010284	 -0.199462	 -0.017715	 -0.979745	  0.528817	  0.374374	  0.601629	  0.791554	 -0.107165	  0.795888	 -0.605432	 -0.003752	  0.067852	  0.083034	  0.994234	  1.7968e+15	-6.16156e+15
0.005000	         0	        -1	       858	 8.01703e+11	  51416651	  29399.17918884	  30970.16057997	  32468.20436988	  -44.62	   71.57	   95.35	    192.50	     22.98	   0.05351	   1.06246	   2.30607	  201.91	  189.720152	  191.67	  0.020838	    0.028270	      0.2815	      0.1856	     -0.9415	  0.879256	  0.833064	  0.240723	  0.927212	 -0.286931	  0.944455	 -0.291917	 -0.150965	  0.223737	  0.234653	  0.945981	   97.68	    44	0.999422	 1.47263e+16	-2.80038e+16	-8.92294e+14	      384285	      23.477	 -283.01	  -75.58	  194.14	       29.399822	       30.969322	       32.468094	       29398.756	       30968.178	       32469.303	  10999188	 5.95069e+10	  0.056884	  0.019363	  0.068714	  0.204952	 -0.976357	  0.967517	  0.920582	  0.033923	  0.980209	 -0.195037	  0.995515	 -0.015896	  0.093260	 -0.088314	  0.197326	  0.976352	 1.15689e+15	-1.99277e+15	  12631858	  5.5972e+10	  0.013199	  0.010256	 -0.199334	 -0.017816	 -0.979770	  0.530804	  0.375074	  0.595806	  0.795739	 -0.108694	  0.799911	 -0.600062	 -0.008287	  0.071818	  0.082008	  0.994041	 1.77671e+15	-6.13242e+15
0.006000	         0	        -1	       866	 8.01266e+11	  51385091	  29400.00759435	  30968.92314981	  32466.67576278	  -44.58	   71.54	   95.27	    192.60	     23.65	   0.02662	   0.19243	   2.27927	  200.95	  189.770462	  191.54	  0.020929	    0.028379	      0.2819	      0.1847	     -0.9415	  0.877494	  0.831698	  0.242487	  0.926348	 -0.288235	  0.944746	 -0.293024	 -0.146941	  0.220578	  0.236678	  0.946218	   97.82	    44	0.999419	 1.46979e+16	-2.79623e+16	-8.92022e+14	      383473	     23.0785	  198.57	   36.82	   60.58	       29.400015	       30.969064	       32.466545	       29399.523	       30966.987	       32467.777	  10999628	 5.95113e+10	  0.056988	  0.019466	  0.068075	  0.204695	 -0.976456	  0.967452	  0.921098	  0.030338	  0.977822	 -0.207230	  0.995499	 -0.010935	  0.094140	 -0.089786	  0.209153	  0.973752	 1.14736e+15	-1.98907e+15	  12614061	 5.58815e+10	  0.013178	  0.010226	 -0.198643	 -0.018280	 -0.979901	  0.531287	  0.375321	  0.589770	  0.800013	 -0.110231	  0.804175	 -0.594299	 -0.010597	  0.073988	  0.082395	  0.993850	 1.77188e+15	 -6.1156e+15
0.008000	         0	        -1	       880	 8.00846e+11	  51354202	  29400.89668118	  30967.68737011	  32465.13563784	  -44.54	   71.52	   95.22	    192.70	     24.33	   0.02241	   0.34782	   2.27876	  200.05	  189.822302	  191.47	  0.021002	    0.028463	      0.2821	      0.1843	     -0.9415	  0.875798	  0.830241	  0.243637	  0.925681	 -0.289406	  0.945539	 -0.293119	 -0.141555	  0.215865	  0.239156	  0.946682	   97.95	    44	0.999418	 1.46805e+16	-2.79317e+16	-8.92694e+14	      382925	     22.7055	 -240.22	  -19.61	   58.65	       29.400998	       30.967373	       32.465243	       29400.301	       30965.789	       32466.246	  11002822	 5.95346e+10	  0.057076	  0.019567	  0.067438	  0.204301	 -0.976582	  0.967375	  0.921535	  0.028889	  0.975228	 -0.219307	  0.995388	 -0.007990	  0.095592	 -0.091472	  0.221057	  0.970962	 1.13895e+15	 -1.9868e+15	  12593557	 5.57733e+10	  0.013150	  0.010189	 -0.197318	 -0.019053	 -0.980154	  0.529859	  0.374999	  0.583475	  0.804422	 -0.111636	  0.808747	 -0.588064	 -0.010464	  0.074067	  0.084180	  0.993694	 1.77637e+15	-6.10752e+15
0.010000	         0	        -1	       866	 8.00442e+11	  51323675	  29401.71780502	  30966.50553563	  32463.63425321	  -44.50	   71.54	   95.17	    192.81	     24.64	   0.05125	   0.13045	   2.29460	  199.63	  189.875856	  191.26	  0.021065	    0.028532	      0.2827	      0.1828	     -0.9416	  0.874091	  0.828886	  0.245469	  0.924953	 -0.290184	  0.944814	 -0.295267	 -0.141930	  0.216960	  0.239330	  0.946387	   98.08	    44	0.999416	   1.464e+16	-2.78759e+16	 -8.9369e+14	      382683	     22.5212	   87.92	  274.88	  259.61	       29.401647	       30.966614	       32.463648	        29401.07	       30964.599	       32464.735	  11004835	 5.95524e+10	  0.057149	  0.019637	  0.066877	  0.203488	 -0.976791	  0.967196	  0.921874	  0.027361	  0.972714	 -0.230388	  0.995220	 -0.004892	  0.097536	 -0.093747	  0.231956	  0.968198	 1.13084e+15	-1.98262e+15	  12573765	 5.56665e+10	  0.013127	  0.010155	 -0.195842	 -0.019207	 -0.980447	  0.527710	  0.374434	  0.575085	  0.810310	 -0.112584	  0.814833	 -0.579618	 -0.009522	  0.072971	  0.086261	  0.993597	 1.76314e+15	-6.08131e+15
0.011000	         0	        -1	       848	 8.00023e+11	  51292698	  29402.51629088	  30965.32246266	  32462.13671794	  -44.47	   71.57	   95.22	    192.91	     25.23	   0.04412	   0.26564	   2.28689	  198.87	  189.928403	  191.09	  0.021130	    0.028606	      0.2851	      0.1815	     -0.9411	  0.872305	  0.827420	  0.246557	  0.924689	 -0.290103	  0.945109	 -0.295653	 -0.139136	  0.214427	  0.239873	  0.946827	   98.22	    44	0.999414	 1.46063e+16	-2.78299e+16	 -8.9548e+14	      382842	     22.2063	  -36.67	  -90.26	  -73.22	       29.402688	       30.965481	        32.46201	        29401.83	       30963.422	       32463.208	  11005895	 5.95661e+10	  0.057228	  0.019752	  0.066695	  0.202522	 -0.977004	  0.966789	  0.922083	  0.027381	  0.970034	 -0.241421	  0.995022	 -0.003297	  0.099606	 -0.095825	  0.242946	  0.965295	 1.11756e+15	-1.97699e+15	  12555178	 5.55658e+10	  0.013107	  0.010127	 -0.195006	 -0.019424	 -0.980610	  0.525972	  0.373813	  0.565600	  0.816842	 -0.113426	  0.821566	 -0.570050	 -0.008493	  0.071596	  0.088383	  0.993510	  1.7554e+15	-6.06283e+15
0.013000	         0	        -1	       849	 7.99642e+11	  51263111	  29403.33348325	  30964.05083326	  32460.66545415	  -44.43	   71.60	   95.28	    193.02	     24.88	   0.04512	   0.19828	   2.21725	  199.29	  189.984263	  191.01	  0.021202	    0.028687	      0.2866	      0.1793	     -0.9411	  0.870513	  0.825759	  0.249194	  0.924090	 -0.289760	  0.944612	 -0.297905	 -0.137696	  0.213565	  0.239397	  0.947143	   98.35	    44	0.999413	  1.4588e+16	-2.77971e+16	-8.95665e+14	      383063	     22.3466	 -162.12	   90.08	  292.10	       29.403418	       30.963871	       32.460673	       29402.597	       30962.225	       32461.686	  11004362	 5.95641e+10	  0.057321	  0.019819	  0.066693	  0.201829	 -0.977147	  0.966395	  0.922292	  0.026867	  0.967423	 -0.251736	  0.994816	 -0.001168	  0.101686	 -0.098079	  0.253163	  0.962439	 1.10949e+15	 -1.9721e+15	  12539005	 5.54801e+10	  0.013089	  0.010101	 -0.194205	 -0.019894	 -0.980759	  0.524985	  0.373232	  0.554563	  0.824334	 -0.113720	  0.829180	 -0.558925	 -0.007989	  0.070147	  0.089864	  0.993481	 1.75537e+15	-6.05199e+15
0.015000	         0	        -1	       868	 7.99298e+11	  51234899	  29404.16255401	  30962.76561399	  32459.15890368	  -44.38	   71.62	   95.34	    193.12	     25.14	   0.02297	   0.35481	   2.16108	  198.96	  190.043457	  190.97	  0.021292	    0.028789	      0.2889	      0.1762	      -0.941	  0.868579	  0.823837	  0.251644	  0.923592	 -0.289230	  0.944106	 -0.300009	 -0.136597	  0.212931	  0.238690	  0.947464	   98.49	    44	0.999412	 1.45757e+16	-2.77692e+16	 -8.9714e+14	      382555	     22.1973	 -146.60	  176.50	  -38.78	       29.403827	       30.962881	       32.459171	       29403.365	       30961.028	       32460.166	  11003304	 5.95632e+10	  0.057404	  0.019862	  0.066698	  0.200992	 -0.977320	  0.965897	  0.922385	  0.024136	  0.964833	 -0.261754	  0.994553	  0.003382	  0.104175	 -0.101397	  0.262842	  0.959496	 1.10668e+15	-1.97067e+15	  12522130	 5.53916e+10	  0.013070	  0.010071	 -0.193556	 -0.019983	 -0.980886	  0.526741	  0.373203	  0.543384	  0.831679	 -0.114211	  0.836428	 -0.547970	 -0.010805	  0.071571	  0.089658	  0.993398	 1.75429e+15	-6.03977e+15
0.016000	         0	        -1	       864	 7.98827e+11	  51200932	  29404.91443041	  30961.51381636	  32457.68001690	  -44.31	   71.60	   95.40	    193.22	     26.01	   0.03975	   0.26637	   2.09571	  197.93	  190.092838	  190.99	  0.021388	    0.028901	      0.2893	      0.1732	     -0.9414	  0.866852	  0.822472	  0.254669	  0.922431	 -0.290285	  0.943656	 -0.302650	 -0.133849	  0.211321	  0.239842	  0.947533	   98.62	    44	0.999409	 1.45696e+16	-2.77463e+16	-8.96064e+14	      381843	     21.7832	  154.63	   11.41	  199.22	       29.404948	       30.961765	       32.457762	       29404.117	       30959.832	       32458.642	  11001050	 5.95566e+10	  0.057479	  0.019828	  0.066506	  0.199840	 -0.977569	  0.965424	  0.922535	  0.018659	  0.962245	 -0.271543	  0.994411	  0.010366	  0.105065	 -0.103913	  0.271986	  0.956674	 1.11718e+15	-1.97592e+15	  12505728	 5.53054e+10	  0.013062	  0.010058	 -0.192812	 -0.019655	 -0.981039	  0.529182	  0.373241	  0.533566	  0.837903	 -0.115003	  0.842531	 -0.538461	 -0.014189	  0.073814	  0.089323	  0.993264	 1.74993e+15	-6.02859e+15
