snum	redshift	ID	hostHalo	numSubStruct	Mvir	npart	Xc	Yc	Zc	VXc	VYc	VZc	Rvir	Rmax	r2	mbp_offset	com_offset	Vmax	v_esc	sigV	lambda	lambdaE	Lx	Ly	Lz	b	c	Eax	Eay	Eaz	Ebx	Eby	Ebz	Ecx	Ecy	Ecz	ovdens	nbins	fMhires	Ekin	Epot	SurfP	Phi0	cNFW	mbp_Vx	mbp_Vy	mbp_Vz	mbp_x	mbp_y	mbp_z	com_x	com_y	com_z	n_gas	M_gas	lambda_gas	lambdaE_gas	Lx_gas	Ly_gas	Lz_gas	b_gas	c_gas	Eax_gas	Eay_gas	Eaz_gas	Ebx_gas	Eby_gas	Ebz_gas	Ecx_gas	Ecy_gas	Ecz_gas	Ekin_gas	Epot_gas	n_star	M_star	lambda_star	lambdaE_star	Lx_star	Ly_star	Lz_star	b_star	c_star	Eax_star	Eay_star	Eaz_star	Ebx_star	Eby_star	Ebz_star	Ecx_star	Ecy_star	Ecz_star	Ekin_star	Epot_star	Rstar0.5	Rstar0.75	Rstar0.9	Rstar0.95	Rstar0.99	cAnalytic
75	4.57522106	0	-1	44	39550500000.0	2136944	59812.8473557	59313.7530869	59818.4335478	78.25	215.6	69.58	84.97	58.87	2.4095	0.09279	3.08381	106.25	149.428429	115.04	0.0254	0.020452	-0.2936	-0.931	0.2168	0.948812	0.614046	0.608908	0.346938	0.713347	0.318379	0.716779	-0.620373	0.726543	-0.604865	-0.325995	176.61	35	1.0	2.61698e+14	-4.04787e+14	-6.68874e+13	41454.8	2.81147	127.67	276.47	45.72	59.812889	59.313705	59.818501	59812.744	59312.541	59821.267	733835	3584870000.0	0.031225	0.009716	-0.095655	-0.970161	0.222794	0.677488	0.510524	0.634392	0.419167	0.649497	-0.282715	-0.656194	0.699629	-0.719457	0.627462	0.29778	1.9881e+13	-4.12508e+13	50770	194511000.0	0.012822	0.001322	0.507262	-0.737273	-0.446221	0.736769	0.387715	0.446444	0.717781	-0.534301	0.552104	0.248939	0.795745	0.704179	-0.650246	-0.285153	6.3285e+11	-2.97706e+12	7.11068685721	9.65706330543	11.4920624773	12.1757783601	12.6183022341	3.21655379548
74	4.625	0	-1	32	38140600000.0	2051057	59806.0863576	59298.0383842	59814.3194765	78.33	213.57	70.07	83.95	56.39	21.46125	0.11264	2.36753	106.55	148.27301	114.62	0.02133	0.017098	-0.2066	-0.9762	0.06532	0.965073	0.639392	0.34826	0.727818	-0.590759	0.588259	0.320984	0.74224	0.72984	-0.606012	-0.31636	176.63	35	1.0	2.50552e+14	-3.85227e+14	-5.59998e+13	39384.0	3.33751	41.59	215.61	99.52	59.806029	59.298117	59.814262	59806.621	59297.764	59816.609	696610	3402680000.0	0.025058	0.00772	-0.089656	-0.975249	0.202119	0.737872	0.574372	0.642481	0.455831	0.615984	-0.278197	-0.610252	0.741754	-0.71402	0.647927	0.265264	1.79628e+13	-3.78569e+13	48148	184557000.0	0.010707	0.001087	0.408318	-0.52179	-0.749007	0.601364	0.394761	0.394538	0.699944	-0.59533	0.602221	0.292379	0.742862	0.694024	-0.651608	-0.306167	5.72198e+11	-2.73069e+12	7.36696459003	9.62311989473	11.0421192501	11.7277934641	12.4132923629	3.20985157599
73	4.67567587	0	-1	41	37542200000.0	2013995	59799.4792595	59282.4873241	59810.7014582	78.25	212.07	70.22	83.52	55.37	1.18584	0.07135	1.97431	106.64	148.14288	114.5	0.019818	0.015763	-0.1404	-0.9877	-0.06804	0.908993	0.628959	0.358289	0.720314	-0.593949	0.581892	0.325208	0.745413	0.730089	-0.612688	-0.302627	176.66	35	1.0	2.46115e+14	-3.76414e+14	-5.10601e+13	38152.4	3.40914	40.62	275.37	61.94	59.799469	59.282452	59.810763	59800.556	59282.767	59812.333	681159	3326980000.0	0.022081	0.00667	-0.158037	-0.946778	0.28042	0.770052	0.615229	0.641153	0.453086	0.619383	-0.306987	-0.588286	0.748116	-0.703336	0.6698	0.23809	1.68879e+13	-3.56801e+13	45955	175515000.0	0.01119	0.0011	0.303065	-0.482172	-0.821986	0.588043	0.409702	0.375703	0.706687	-0.599534	0.599562	0.307951	0.738709	0.706663	-0.636993	-0.308005	5.39311e+11	-2.52974e+12	7.18787307881	8.96083839769	10.5853816698	11.5154019304	12.3212599192	3.20223644784
72	4.72727251	0	-1	30	37286000000.0	1996081	59793.7829057	59266.3966661	59807.6669336	77.98	210.8	70.27	83.33	58.18	6.81577	0.14719	1.6382	106.68	148.472449	114.94	0.018853	0.014855	-0.08894	-0.9804	-0.1758	0.867045	0.615628	0.35181	0.705467	-0.615261	0.590324	0.34289	0.730715	0.726462	-0.620276	-0.295822	176.69	35	1.0	2.46309e+14	-3.73865e+14	-4.79198e+13	37731.3	3.32931	68.48	218.18	51.8	59.793676	59.2663	59.807695	59794.689	59267.452	59808.533	672311	3284020000.0	0.020457	0.005857	-0.205561	-0.914549	0.348345	0.793533	0.643595	0.632188	0.444512	0.634624	-0.32981	-0.586775	0.739541	-0.701116	0.676834	0.224347	1.74572e+13	-3.43017e+13	44771	170789000.0	0.00916	0.000887	0.180693	-0.49746	-0.84846	0.581933	0.4172	0.382535	0.711087	-0.589935	0.55736	0.33164	0.76116	0.736897	-0.619976	-0.269468	5.23069e+11	-2.45148e+12	6.10642707289	8.69703376756	10.8117615873	11.5114411365	12.271768124	3.19445538499
71	4.77981663	0	-1	34	37180200000.0	1985978	59788.8549073	59250.4267111	59805.5756354	77.51	209.62	70.28	83.26	69.92	18.39792	0.10347	1.89062	107.51	149.014307	115.82	0.01843	0.01431	-0.03793	-0.9718	-0.2329	0.838841	0.602284	0.342981	0.69303	-0.634092	0.607003	0.35165	0.712664	0.716876	-0.629326	-0.300062	176.71	35	1.0	2.4936e+14	-3.73774e+14	-4.55288e+13	37617.5	3.50614	77.48	116.07	167.46	59.788928	59.250363	59.805611	59789.111	59252.242	59805.112	665269	3250140000.0	0.020246	0.005325	-0.202791	-0.919923	0.335585	0.815084	0.663617	0.611157	0.430673	0.664084	-0.359331	-0.596599	0.717601	-0.705243	0.677193	0.209862	1.886e+13	-3.31351e+13	44380	169498000.0	0.004985	0.000483	-0.088761	-0.407983	-0.908665	0.565764	0.415359	0.400238	0.718705	-0.568571	0.493425	0.35381	0.794575	0.772231	-0.598567	-0.213019	4.91269e+11	-2.43128e+12	6.45691349956	9.01431535304	10.9727804362	11.7105001917	12.3327502383	3.18683023596
70	4.83333349	0	-1	33	36866300000.0	1962030	59784.5592257	59236.4102464	59802.0809546	77.08	208.67	70.29	83.03	66.34	61.67078	0.06442	1.85062	108.43	149.306025	117.08	0.018563	0.014244	-0.01312	-0.9623	-0.2716	0.828646	0.593618	0.346116	0.694376	-0.630909	0.610902	0.34357	0.713272	0.712041	-0.632299	-0.305281	176.74	35	1.0	2.52666e+14	-3.73575e+14	-4.18598e+13	37645.4	3.78073	100.17	214.53	30.12	59.784613	59.236392	59.802111	59783.739	59237.75	59801.103	650620	3178870000.0	0.021901	0.005312	-0.140179	-0.943918	0.298945	0.813336	0.659221	0.591143	0.429999	0.682386	-0.381028	-0.596801	0.706149	-0.710892	0.677443	0.188953	2.0003e+13	-3.20834e+13	44245	169264000.0	0.003356	0.000327	-0.564763	-0.067089	-0.822522	0.546867	0.405037	0.398945	0.717232	-0.571334	0.463839	0.379631	0.800459	0.79101	-0.584345	-0.181228	4.76074e+11	-2.42506e+12	6.79467485016	9.80702134293	11.2547093976	11.8326980266	12.3197900053	3.17975556273
69	4.88785028	0	-1	32	36243500000.0	1923089	59778.6622212	59220.7567935	59800.2078445	76.68	207.98	70.08	82.56	62.45	22.33221	0.11329	3.74926	109.77	149.167085	118.5	0.018186	0.013601	0.009372	-0.958	-0.2866	0.82646	0.585968	0.346594	0.690042	-0.635386	0.613846	0.345335	0.709885	0.709271	-0.636071	-0.303889	176.76	35	1.0	2.54473e+14	-3.67149e+14	-3.45637e+13	37435.3	4.29184	65.61	239.46	33.11	59.778771	59.22077	59.800236	59778.174	59222.861	59797.144	631806	3087080000.0	0.023507	0.005093	-0.058525	-0.955656	0.288611	0.827962	0.642347	0.574808	0.425434	0.699001	-0.418368	-0.581343	0.69786	-0.703252	0.693575	0.156173	2.14904e+13	-3.09464e+13	44200	169465000.0	0.005311	0.000518	-0.817413	0.419044	-0.39527	0.530242	0.387154	0.40711	0.716362	-0.566645	0.454242	0.379432	0.806037	0.792418	-0.58554	-0.170931	4.63063e+11	-2.3786e+12	7.91636289295	9.65010889635	11.0049382793	11.6838716004	12.2574650524	3.17325347293
68	4.94339609	0	-1	27	35655800000.0	1888591	59774.8209399	59207.578066	59795.2204293	76.12	206.99	69.88	82.12	60.47	1.2908	0.1147	3.46308	111.0	149.055191	120.12	0.017992	0.013422	0.065	-0.9603	-0.2714	0.830352	0.585801	0.352966	0.707452	-0.612313	0.596083	0.334403	0.729972	0.721179	-0.622645	-0.303667	176.79	35	1.0	2.57224e+14	-3.67336e+14	-2.96108e+13	38984.3	4.72835	56.17	226.07	-1.22	59.774867	59.207503	59.795147	59773.231	59208.904	59792.444	616980	3014510000.0	0.023483	0.00471	0.007591	-0.970545	0.2408	0.843194	0.62623	0.580562	0.460105	0.671752	-0.383612	-0.573155	0.72411	-0.718185	0.678083	0.15625	2.30552e+13	-3.10158e+13	43997	169301000.0	0.005176	0.00051	-0.825499	0.51885	-0.22214	0.532447	0.379154	0.406464	0.726117	-0.554564	0.446503	0.371688	0.81393	0.797134	-0.578448	-0.173135	5.349e+11	-2.45526e+12	7.38371514261	9.44379434674	11.1231576167	11.7460887949	12.2232790977	3.16699238269
67	5.0	0	-1	28	35293100000.0	1868814	59770.1043128	59194.6441004	59790.1912228	75.61	206.13	69.71	81.84	58.64	22.63106	0.07589	3.34119	111.7	149.234251	121.39	0.018532	0.013885	0.1365	-0.9467	-0.2917	0.837126	0.584448	0.381583	0.732042	-0.564366	0.574461	0.290517	0.765241	0.724147	-0.616209	-0.309673	176.81	35	1.0	2.60047e+14	-3.70288e+14	-2.89997e+13	39074.7	4.90966	38.28	194.38	94.21	59.770176	59.194627	59.790211	59768.064	59195.028	59787.573	609865	2979320000.0	0.023173	0.004666	0.074098	-0.964928	0.251839	0.875995	0.624352	0.604846	0.512853	0.609215	-0.338518	-0.526871	0.779623	-0.72081	0.677782	0.145066	2.43411e+13	-3.23031e+13	43741	169911000.0	0.004734	0.00047	-0.666464	0.615543	-0.420633	0.539935	0.373794	0.427752	0.741408	-0.517051	0.437639	0.330633	0.836155	0.790886	-0.583949	-0.18304	6.36784e+11	-2.57324e+12	6.41906603885	8.80372322716	10.7655837197	11.5475747953	12.1516536298	3.16088032489
66	5.05769253	0	-1	25	34922500000.0	1851588	59765.9338399	59181.4711799	59784.911282	74.53	205.23	69.56	81.56	55.06	1.6118	0.04719	3.80441	111.71	149.399636	121.97	0.019348	0.014793	0.1792	-0.9346	-0.3074	0.843175	0.58478	0.423935	0.7564	-0.498135	0.550013	0.221958	0.805121	0.719558	-0.6153	-0.321934	176.83	35	1.0	2.59758e+14	-3.73617e+14	-3.17538e+13	40695.6	4.86788	36.6	105.36	58.0	59.765888	59.181479	59.78492	59762.869	59181.108	59782.686	607465	2965870000.0	0.0239	0.005917	0.0139	-0.966366	0.256795	0.911437	0.634161	0.6605	0.600699	0.450444	-0.227747	-0.411378	0.882553	0.715451	-0.685514	-0.134908	2.22306e+13	-3.41686e+13	42292	166636000.0	0.003847	0.000384	-0.60641	0.642916	-0.467896	0.547071	0.365732	0.460415	0.764331	-0.451459	0.419072	0.261184	0.869576	0.782558	-0.58956	-0.200057	7.18936e+11	-2.66342e+12	5.20424020968	7.9081234021	10.3447190804	11.2989194594	12.0372465109	3.15511856682
