snum	redshift	ID	hostHalo	numSubStruct	Mvir	npart	Xc	Yc	Zc	VXc	VYc	VZc	Rvir	Rmax	r2	mbp_offset	com_offset	Vmax	v_esc	sigV	lambda	lambdaE	Lx	Ly	Lz	b	c	Eax	Eay	Eaz	Ebx	Eby	Ebz	Ecx	Ecy	Ecz	ovdens	nbins	fMhires	Ekin	Epot	SurfP	Phi0	cNFW	mbp_Vx	mbp_Vy	mbp_Vz	mbp_x	mbp_y	mbp_z	com_x	com_y	com_z	n_gas	M_gas	lambda_gas	lambdaE_gas	Lx_gas	Ly_gas	Lz_gas	b_gas	c_gas	Eax_gas	Eay_gas	Eaz_gas	Ebx_gas	Eby_gas	Ebz_gas	Ecx_gas	Ecy_gas	Ecz_gas	Ekin_gas	Epot_gas	n_star	M_star	lambda_star	lambdaE_star	Lx_star	Ly_star	Lz_star	b_star	c_star	Eax_star	Eay_star	Eaz_star	Ebx_star	Eby_star	Ebz_star	Ecx_star	Ecy_star	Ecz_star	Ekin_star	Epot_star	MDM(5.0Rstar0.5)	Mgas(5.0Rstar0.5)	MlowresDM(5.0Rstar0.5)	Mstar(5.0Rstar0.5)	Rstar0.5	Rstar0.75	Rstar0.9	Rstar0.95	Rstar0.99	Vc(5.0Rstar0.5)	cAnalytic
464	0.25349301	0	-1	885	8.94511e+11	54200679	27759.0944301	29279.5516786	27761.8700397	-85.92	-24.01	-108.14	216.01	19.82	0.0567	0.01842	3.58338	219.94	209.963323	205.48	0.045909	0.058264	-0.1056	-0.2921	0.9505	0.918557	0.803131	0.939665	-0.315127	-0.133136	0.318657	0.664697	0.675748	-0.124451	-0.677402	0.72501	117.47	44	1.0	1.86462e+16	-3.43247e+16	-1.32076e+15	446601.0	22.2406	-241.57	-493.76	-388.78	27.759102	29.279568	27.761875	27758.438	29282.262	27764.12	9938208	53892900000.0	0.03593	0.011075	0.198174	-0.077611	0.977089	0.94958	0.898984	0.993944	0.025311	-0.106937	0.077271	0.530944	0.843876	-0.078137	0.847029	-0.525773	1.24005e+15	-2.16494e+15	12881864	54325400000.0	0.014808	0.010606	0.09256	0.072646	0.993054	0.491059	0.342765	0.54088	0.796306	0.270824	0.835846	-0.472946	-0.278718	0.09386	-0.37712	0.921396	1.98236e+15	-6.9764e+15	38894550970.6	7118104380.1	0.0	43656169868.5	1.57971580732	3.79454315521	8.1297352788	12.3056270148	28.3158123502	247.387255407	8.49208482554
463	0.25600001	0	-1	868	8.94511e+11	54192466	27761.0399064	29280.1097171	27764.2920402	-85.94	-23.85	-108.11	216.18	37.7	0.00966	0.00974	3.64777	202.15	210.140444	205.6	0.046026	0.058299	-0.1025	-0.2918	0.951	0.915801	0.800592	0.938669	-0.317195	-0.135235	0.320626	0.658562	0.680805	-0.126887	-0.682411	0.719872	117.66	44	1.0	1.86758e+16	-3.43267e+16	-1.33185e+15	449228.0	16.4012	-562.54	-220.38	-457.84	27.761031	29.280111	27.764297	27760.422	29282.855	27766.613	9938505	53884700000.0	0.036124	0.011105	0.197169	-0.077194	0.977326	0.947423	0.896226	0.993755	0.015721	-0.110475	0.085647	0.527157	0.845441	-0.071529	0.849623	-0.522518	1.24041e+15	-2.16224e+15	12850871	54188500000.0	0.014817	0.010594	0.085826	0.075962	0.99341	0.485139	0.336651	0.567018	0.781444	0.260454	0.817471	-0.495023	-0.294438	0.101156	-0.379865	0.919494	1.98195e+15	-6.9688e+15	38019211610.8	7187357809.96	0.0	43412011949.1	1.55760097684	3.68537306456	7.87335112635	11.4938686893	23.2820331332	247.92151599	8.47501828039
462	0.258517	0	-1	845	8.94511e+11	54193421	27763.0077744	29280.7254819	27766.7366799	-85.9	-23.65	-108.13	216.36	38.53	0.06227	0.02988	3.65224	201.78	210.334085	205.64	0.046219	0.058414	-0.0996	-0.2907	0.9516	0.912472	0.797953	0.937861	-0.319854	-0.134577	0.320803	0.651317	0.687656	-0.132297	-0.688098	0.713455	117.84	44	1.0	1.86972e+16	-3.43189e+16	-1.34283e+15	448202.0	16.2318	400.37	188.27	-652.13	27.763025	29.280741	27.766718	27762.43	29283.443	27769.107	9939537	53881500000.0	0.036338	0.011143	0.196147	-0.076842	0.977559	0.945028	0.89347	0.993494	0.00551	-0.113754	0.094125	0.52259	0.847373	-0.064116	0.852566	-0.518671	1.23888e+15	-2.1586e+15	12820284	54051300000.0	0.014807	0.01056	0.080635	0.08044	0.993492	0.485318	0.336948	0.596873	0.761978	0.25126	0.797952	-0.531062	-0.285038	0.083758	-0.370625	0.924998	1.9717e+15	-6.94584e+15	37632380913.9	6930229446.73	0.0	43289433389.7	1.55468357488	3.65436375567	7.76486913174	11.093396374	22.6508559469	247.32588898	8.45773377465
461	0.2610442	0	-1	850	8.94511e+11	54187553	27765.0425456	29281.3855237	27769.2097396	-85.88	-23.48	-108.11	216.53	39.35	0.0561	0.02303	3.61347	201.74	210.514061	205.68	0.046385	0.058508	-0.09729	-0.2907	0.9518	0.909652	0.795667	0.936238	-0.323757	-0.136528	0.323799	0.644114	0.693016	-0.136429	-0.693036	0.707876	118.03	44	1.0	1.87139e+16	-3.43081e+16	-1.3555e+15	445442.0	16.1684	-403.03	-444.47	-186.95	27.76503	29.2814	27.769198	27764.442	29284.036	27771.591	9939004	53875500000.0	0.036513	0.011211	0.192721	-0.07609	0.978299	0.942565	0.890889	0.99318	-0.003943	-0.116527	0.101767	0.517062	0.849877	-0.056901	0.855939	-0.513937	1.22205e+15	-2.14607e+15	12791950	53925000000.0	0.014763	0.010501	0.073257	0.086456	0.993559	0.484928	0.336208	0.625192	0.742517	0.240425	0.77558	-0.556627	-0.29773	0.087242	-0.372607	0.923879	1.95848e+15	-6.91739e+15	37406945773.7	6813157067.75	0.0	43211641092.8	1.55233332306	3.65394355981	7.6785252343	10.7968433244	23.1077205858	247.168055522	8.44062468992
460	0.26358151	0	-1	856	8.94511e+11	54175647	27767.0763991	29282.091336	27771.6703092	-85.81	-23.33	-108.09	216.69	32.05	0.0566	0.01783	3.5422	205.85	210.685957	205.97	0.046604	0.058678	-0.0949	-0.2917	0.9518	0.90711	0.793587	0.934071	-0.328195	-0.140712	0.328723	0.636384	0.697822	0.139475	0.698071	-0.702313	118.22	44	1.0	1.87731e+16	-3.43421e+16	-1.36453e+15	446840.0	17.3712	-561.07	300.81	-3.11	27.767084	29.28208	27.771682	27766.425	29284.62	27774.063	9935338	53845900000.0	0.036681	0.011287	0.190001	-0.075352	0.978888	0.940155	0.888489	0.992711	-0.012296	-0.119894	0.109223	0.512332	0.851814	-0.050952	0.858699	-0.50994	1.2083e+15	-2.13817e+15	12764806	53811000000.0	0.014808	0.010513	0.069377	0.087829	0.993717	0.486054	0.337218	0.655573	0.719733	0.228491	0.748808	-0.580534	-0.319792	0.097518	-0.380743	0.919524	1.96601e+15	-6.9155e+15	36787641262.7	6930259777.13	0.0	43088513501.4	1.53725174629	3.66988890315	7.62399098536	10.6536229396	23.8605382461	247.736586328	8.42362123615
459	0.26612899	0	-1	874	8.94511e+11	54155918	27769.1439659	29282.8704902	27774.1198395	-85.75	-23.17	-108.17	216.84	32.79	0.06898	0.02337	3.44761	205.99	210.845696	206.25	0.046892	0.058938	-0.09193	-0.2934	0.9516	0.904826	0.791786	0.930331	-0.335464	-0.148152	0.337776	0.626548	0.702385	0.142801	0.703493	-0.696208	118.4	44	1.0	1.88274e+16	-3.43686e+16	-1.37129e+15	445797.0	17.366	-697.88	296.39	151.71	27.769132	29.282856	27.774106	27768.392	29285.208	27776.54	9932785	53829500000.0	0.036916	0.011337	0.186266	-0.073297	0.979761	0.937522	0.885914	0.992032	-0.019981	-0.124395	0.117338	0.506094	0.854459	-0.045883	0.862247	-0.504406	1.20708e+15	-2.13491e+15	12734913	53674100000.0	0.014755	0.010459	0.070183	0.086565	0.993771	0.48948	0.339205	0.688422	0.692552	0.215514	-0.716883	0.604528	0.347312	0.110247	-0.393596	0.912649	1.94517e+15	-6.88849e+15	37027376024.5	7497315652.5	0.0	43066342738.0	1.54929388932	3.65083046013	7.5933551702	10.7754899412	24.7717178555	248.13441685	8.40677674312
458	0.26868689	0	-1	866	8.94511e+11	54145673	27771.221074	29283.6654846	27776.6589863	-85.74	-23.03	-108.29	217.01	32.02	0.05171	0.01839	3.31968	207.4	211.024602	206.76	0.04709	0.059062	-0.08866	-0.2945	0.9515	0.902627	0.790084	0.927251	-0.341035	-0.1546	0.344943	0.617369	0.707014	0.145672	0.708908	-0.690094	118.59	44	1.0	1.89288e+16	-3.44377e+16	-1.38071e+15	447194.0	17.7502	-533.27	-120.01	-605.55	27.771209	29.283655	27.776649	27770.371	29285.805	27779.051	9925927	53784900000.0	0.037146	0.011351	0.18253	-0.070935	0.980638	0.934767	0.883129	0.991326	-0.027759	-0.128461	0.125093	0.499057	0.857493	-0.040307	0.866124	-0.498201	1.21083e+15	-2.13137e+15	12709392	53566000000.0	0.01472	0.010419	0.071795	0.085496	0.993748	0.49628	0.343337	0.724307	0.660051	0.19928	-0.67961	0.634747	0.367732	0.116229	-0.401783	0.908329	1.94766e+15	-6.88653e+15	36605129684.4	6914405735.91	0.0	42863722671.3	1.54510549019	3.64628417484	7.69896582042	11.1242322653	25.744587658	247.000626282	8.38968405711
457	0.27125511	0	-1	892	8.94511e+11	54134635	27773.2650964	29284.5156786	27779.2554575	-85.81	-22.89	-108.38	217.17	38.72	0.0486	0.01253	3.13256	205.51	211.20305	207.21	0.047239	0.059127	-0.08519	-0.2955	0.9516	0.900396	0.788263	0.924516	-0.345823	-0.160238	0.350837	0.607856	0.712337	0.148941	0.714785	-0.6833	118.78	44	1.0	1.90201e+16	-3.44977e+16	-1.39668e+15	446913.0	17.1085	64.14	-82.45	-58.54	27.77326	29.284524	27.779263	27772.35	29286.407	27781.579	9917782	53737300000.0	0.037406	0.01143	0.178609	-0.06769	0.981589	0.932283	0.880505	0.990585	-0.036445	-0.131959	0.132726	0.491846	0.860506	-0.033543	0.869919	-0.492053	1.19608e+15	-2.11854e+15	12684863	53457600000.0	0.014655	0.010352	0.074823	0.083608	0.993686	0.505512	0.351344	0.763441	0.620421	0.17954	-0.6352	0.670894	0.382652	0.116953	-0.406177	0.90628	1.9369e+15	-6.86674e+15	36632741043.6	6017167527.71	0.0	42775368014.2	1.55487795176	3.64920457431	7.80523298615	11.8254673262	26.8389726324	245.10180308	8.37259885516
456	0.27383369	0	-1	879	8.94511e+11	54128476	27775.3277732	29285.4435988	27781.897934	-85.94	-22.76	-108.5	217.35	37.26	0.0992	0.01557	2.90894	207.84	211.392244	208.04	0.047344	0.059132	-0.08102	-0.2962	0.9517	0.898061	0.786409	0.922383	-0.349332	-0.164855	0.354906	0.597942	0.718684	0.152486	0.72141	-0.675511	118.97	44	1.0	1.91822e+16	-3.46307e+16	-1.41298e+15	448038.0	17.7741	212.54	115.66	-353.54	27.77534	29.285434	27.781901	27774.357	29287.023	27784.139	9907263	53672600000.0	0.037671	0.011478	0.174621	-0.064071	0.982549	0.929925	0.878062	0.98973	-0.045752	-0.135428	0.140585	0.483052	0.864232	-0.025878	0.874396	-0.484523	1.19425e+15	-2.11371e+15	12662336	53364200000.0	0.014619	0.010312	0.078785	0.080139	0.993665	0.517021	0.363594	0.806081	0.571273	0.154533	-0.58005	0.710873	0.397746	0.117368	-0.410252	0.904388	1.94796e+15	-6.8753e+15	36601079359.8	5770325537.31	0.0	42620142921.4	1.55589657838	3.71868444646	8.08695039123	12.8787396034	28.4146889054	244.646483626	8.35537768761
455	0.2764228	0	-1	898	8.94511e+11	54120814	27777.4006863	29286.4690343	27784.585293	-86.05	-22.66	-108.59	217.52	35.72	0.09516	0.02276	2.6339	210.62	211.579691	209.13	0.047454	0.059164	-0.07696	-0.2972	0.9517	0.895707	0.784362	0.919972	-0.353356	-0.169676	0.359551	0.588295	0.724315	0.156121	0.727357	-0.668265	119.16	44	1.0	1.93951e+16	-3.48244e+16	-1.42834e+15	447315.0	18.5889	30.67	318.99	-191.81	27.777423	29.286472	27.784587	27776.375	29287.657	27786.7	9896157	53597600000.0	0.037947	0.01151	0.170602	-0.060228	0.983498	0.927968	0.875984	0.988794	-0.054933	-0.138813	0.148148	0.475728	0.867026	-0.018409	0.877875	-0.478535	1.2097e+15	-2.12287e+15	12640102	53279100000.0	0.014621	0.010316	0.081357	0.074966	0.993862	0.52966	0.379188	0.85275	0.507866	0.122022	-0.508594	0.754161	0.41542	0.118954	-0.416308	0.901408	1.94673e+15	-6.88793e+15	38273863421.9	6186739119.31	0.0	42662569602.4	1.60143706188	3.96742404965	9.25866621705	17.6282351362	31.8880761461	244.396107707	8.33818148064
