snum	redshift	ID	hostHalo	numSubStruct	Mvir	npart	Xc	Yc	Zc	VXc	VYc	VZc	Rvir	Rmax	r2	mbp_offset	com_offset	Vmax	v_esc	sigV	lambda	lambdaE	Lx	Ly	Lz	b	c	Eax	Eay	Eaz	Ebx	Eby	Ebz	Ecx	Ecy	Ecz	ovdens	nbins	fMhires	Ekin	Epot	SurfP	Phi0	cNFW	mbp_Vx	mbp_Vy	mbp_Vz	mbp_x	mbp_y	mbp_z	com_x	com_y	com_z	n_gas	M_gas	lambda_gas	lambdaE_gas	Lx_gas	Ly_gas	Lz_gas	b_gas	c_gas	Eax_gas	Eay_gas	Eaz_gas	Ebx_gas	Eby_gas	Ebz_gas	Ecx_gas	Ecy_gas	Ecz_gas	Ekin_gas	Epot_gas	n_star	M_star	lambda_star	lambdaE_star	Lx_star	Ly_star	Lz_star	b_star	c_star	Eax_star	Eay_star	Eaz_star	Ebx_star	Eby_star	Ebz_star	Ecx_star	Ecy_star	Ecz_star	Ekin_star	Epot_star	Rstar0.5	Rstar0.75	Rstar0.9	Rstar0.95	Rstar0.99	cAnalytic	sRstar0.5
146	2.42857146	0	-1	21	18878000000.0	1136341	29502.6147067	28443.0536158	28732.2009	55.99	-83.09	-78.05	65.92	41.34	13.6479	0.07259	11.01466	68.6	91.898661	73.7	0.087935	0.069115	-0.1362	0.893	0.4289	0.8958	0.695746	0.547923	-0.352012	0.758859	-0.822211	-0.393741	0.411021	-0.15411	0.84915	0.505168	173.25	34	1.0	5.12711e+13	-7.58918e+13	-8.71528e+12	16779.9	4.80147	103.35	-58.81	-92.82	29.502618	28.443066	28.732272	29493.002	28444.609	28727.054	505032	2456880000.0	0.142665	0.045427	-0.21698	0.847983	0.483575	0.80087	0.666379	0.487997	-0.39327	0.779229	0.831975	0.47956	-0.279	-0.263965	0.78445	0.561214	6.2262e+12	-1.02671e+13	12202	44886100.0	0.135816	0.008076	-0.129448	0.819462	0.558324	0.358149	0.239481	0.934392	-0.034172	0.354603	-0.303942	-0.595679	0.743495	-0.185823	0.802495	0.566984	99728800000.0	-2.40666e+11	3.05953014763	4.3791071275	6.52264248505	7.83544938049	9.32376454033	4.58334835749	3.05118964823
145	2.44751382	0	-1	18	18750400000.0	1127537	29498.1004211	28446.4618533	28736.091186	55.69	-82.82	-77.79	65.79	42.64	22.09138	0.04122	9.98429	68.31	91.936811	72.68	0.085759	0.067049	-0.1229	0.8921	0.4348	0.855818	0.687789	0.417185	-0.419813	0.806048	0.899605	0.316743	-0.300639	-0.129098	0.850547	0.509807	173.32	34	1.0	4.95294e+13	-7.3747e+13	-8.80298e+12	15638.0	4.62911	65.6	-84.68	-105.11	29.498073	28.446443	28.736115	29489.728	28448.677	28731.124	500269	2433620000.0	0.138223	0.042804	-0.192594	0.857405	0.477247	0.764524	0.655337	0.425256	-0.418657	0.802423	0.874629	0.418106	-0.245379	0.232769	-0.806172	-0.543972	5.99455e+12	-9.79398e+12	12093	44568500.0	0.133619	0.007667	-0.110581	0.803786	0.584551	0.377721	0.257285	0.892246	-0.133893	0.431241	-0.440898	-0.464528	0.767999	-0.097494	0.875378	0.473506	96367900000.0	-2.26808e+11	4.55130505786	6.14014375386	7.65959184762	8.76613954205	9.58309119948	4.56312409161	2.90150348017
144	2.4666667	0	-1	19	18013700000.0	1085102	29496.7089579	28447.8728298	28748.7474654	56.14	-82.15	-78.28	64.92	52.57	30.09353	0.12025	15.03572	65.14	90.962949	71.71	0.097541	0.068734	-0.1312	0.8897	0.4373	0.714498	0.592438	0.454838	-0.395375	0.797998	0.870804	0.385202	-0.305484	-0.186609	0.833846	0.519498	173.39	33	1.0	4.63209e+13	-6.48219e+13	-1.1157e+13	14342.1	3.18007	100.74	26.68	-132.72	29.496623	28.447926	28.748683	29487.138	28451.607	28737.769	482646	2347850000.0	0.127348	0.037121	-0.100076	0.86197	0.496983	0.663001	0.59305	0.394131	-0.384189	0.834901	0.88945	0.388163	-0.241264	0.231387	-0.837692	-0.494704	5.47542e+12	-8.64132e+12	11855	43687300.0	0.146692	0.008103	-0.229657	0.740054	0.632122	0.28787	0.191178	0.71549	-0.252947	0.651224	-0.694203	-0.362107	0.622062	-0.078464	0.89716	0.43468	80798300000.0	-1.94496e+11	3.69639140642	7.36524218726	8.64348310389	9.11479259085	9.5641394635	4.55394349499	2.88064955218
143	2.48603344	0	-1	16	17654900000.0	1056321	29492.8692681	28449.4763388	28756.1683464	56.47	-81.89	-78.51	64.39	61.25	37.46807	0.07964	16.1683	64.0	90.454598	70.73	0.099842	0.066611	-0.09968	0.8878	0.4493	0.64405	0.556184	0.398413	-0.44546	0.801769	0.896767	0.372696	-0.238551	0.192551	-0.814042	-0.54796	173.46	33	1.0	4.39405e+13	-5.99337e+13	-1.391e+13	13603.8	2.41527	52.97	-6.63	-92.85	29.492841	28.449521	28.756228	29484.168	28454.572	28743.53	468331	2278160000.0	0.115364	0.033776	0.015153	0.862483	0.505859	0.610991	0.558843	0.341213	-0.405278	0.848129	0.928591	0.285394	-0.237209	0.145916	-0.868504	-0.473718	4.85951e+12	-7.93949e+12	11545	42428600.0	0.151765	0.008095	-0.249187	0.723722	0.643531	0.252141	0.178671	0.608621	-0.347403	0.713366	0.793386	0.25412	-0.553138	0.010881	0.902626	0.430288	69784300000.0	-1.72001e+11	2.92007414755	5.17767875366	7.62851681364	8.58856360348	9.45169706878	4.53966804501	2.88940235982
142	2.5056181	0	-1	15	17654900000.0	1012047	29489.3338957	28451.4270155	28763.4285276	57.29	-82.21	-79.12	63.68	63.68	38.79746	0.07681	16.47096	63.41	89.705644	70.2	0.108589	0.066907	-0.08121	0.8825	0.4633	0.590324	0.524239	0.370158	-0.489783	0.789364	0.89403	0.418664	-0.159468	-0.252373	0.764744	0.592853	173.53	33	1.0	4.18576e+13	-5.48232e+13	-1.54956e+13	12794.3	2.32871	69.17	-31.19	-184.95	29.489289	28.451388	28.76338	29481.251	28457.041	28750.221	441172	2146160000.0	0.108514	0.030522	0.030434	0.862719	0.504767	0.583219	0.543534	0.338335	-0.435291	0.834297	0.926243	0.310576	-0.213581	-0.166142	0.845024	0.508264	4.43887e+12	-7.14088e+12	11452	42115700.0	0.166718	0.008781	-0.224352	0.745705	0.627368	0.218444	0.166722	0.520839	-0.40837	0.749641	0.847541	0.142463	-0.511251	0.101984	0.901631	0.420311	62192200000.0	-1.56929e+11	2.63190881054	4.28914144674	6.07515104501	7.30190213227	9.20800328403	4.52815885039	2.88973175236
141	2.52542377	0	-1	17	17654900000.0	932610	29485.5955829	28452.8168205	28770.4116544	58.65	-82.66	-80.68	63.8008468738	61.99	40.75255	0.03627	15.5534	61.89	87.563218	69.86	0.120504	0.066397	-0.1285	0.8676	0.4803	0.565914	0.503275	0.382056	-0.544179	0.746929	0.855421	0.514086	-0.06301	-0.349697	0.663012	0.661912	173.6	33	1.0	3.82247e+13	-4.73335e+13	-1.42283e+13	12351.8	2.32871	62.32	-37.15	-132.19	29.48558	28.452824	28.77038	29478.111	28458.998	28758.259	405539	1972930000.0	0.101003	0.027333	0.082764	0.86848	0.488766	0.561675	0.525223	0.324746	-0.489703	0.809155	0.931677	0.312929	-0.184534	-0.162841	0.813798	0.557867	3.97113e+12	-6.16825e+12	11020	40609900.0	0.195636	0.010221	-0.252994	0.746017	0.615997	0.161995	0.121953	0.473622	-0.474918	0.741711	0.508012	0.835253	0.210421	-0.719449	0.277138	0.636858	56088500000.0	-1.37975e+11	2.53840029035	4.02568081303	5.74307959848	6.94676857735	8.57533343589	4.53196710765	2.87989957561
140	2.5454545	1	-1	10	17654900000.0	885519	29481.82984	28454.5736409	28777.1593296	59.69	-82.77	-80.91	64.1633501134	61.09	57.5108	0.03159	15.65743	61.16	86.546742	69.51	0.129704	0.063849	-0.1091	0.8612	0.4964	0.539074	0.481273	0.341324	-0.57899	0.740451	0.875203	0.483073	-0.025705	-0.342809	0.656818	0.671618	173.66	33	1.0	3.62105e+13	-4.30034e+13	-1.50738e+13	12126.1	2.32946	88.15	-49.09	-97.89	29.481819	28.454593	28.777137	29475.062	28461.624	28764.927	379242	1844960000.0	0.092992	0.024042	0.142414	0.859093	0.491607	0.546978	0.510336	0.28166	-0.543605	0.790671	0.957385	0.214082	-0.193862	-0.063884	0.81158	0.580738	3.65973e+12	-5.53353e+12	10905	40232600.0	0.213891	0.01092	-0.230558	0.754225	0.614806	0.147388	0.107694	0.399001	-0.519709	0.755447	0.486613	0.818298	0.305935	-0.777178	0.245542	0.579399	52869100000.0	-1.2593e+11	2.46604591334	3.75565043342	5.40072676942	6.65180515828	8.19830807398	4.52351035403	2.87325755844
139	2.56571436	0	-1	20	17654900000.0	1021989	29460.5725841	28483.4692342	28744.9555313	52.45	-83.3	-75.38	64.53	57.84	40.64422	0.12261	9.99296	65.17	91.624344	67.26	0.099276	0.074366	-0.1453	0.8516	0.5036	0.68931	0.676088	0.230158	-0.384197	0.894103	0.783426	0.618185	0.063967	-0.577297	0.68574	0.44327	173.73	33	1.0	3.99295e+13	-6.07098e+13	-1.24979e+13	13386.1	2.83834	30.93	-106.04	-50.99	29.460616	28.483405	28.745051	29467.514	28477.829	28749.413	422561	2055470000.0	0.159405	0.037386	-0.202123	0.850024	0.486422	0.624307	0.605235	0.247848	-0.433168	0.866566	-0.705257	0.532587	0.467935	0.664216	0.727129	0.173494	4.92713e+12	-6.96418e+12	11262	41636900.0	0.11341	0.007258	-0.180899	0.771466	0.610013	0.273532	0.231233	0.373	-0.493468	0.785723	-0.396261	0.680996	0.615809	0.838956	0.541048	-0.05847	50815900000.0	-2.02491e+11	2.48566715259	4.2548796411	6.5516985447	7.62840145383	9.20596776949	4.44835847474	2.86943024879
138	2.58620691	0	-1	19	17347200000.0	1000492	29458.6712942	28488.6946494	28748.2137259	51.77	-83.24	-75.07	64.17	59.33	32.03112	0.07608	9.68866	64.75	91.34756	66.69	0.099789	0.074595	-0.1373	0.8578	0.4953	0.687482	0.655446	0.172617	-0.392197	0.90354	0.334355	0.886175	0.320782	0.926504	-0.246731	-0.284102	173.79	33	1.0	3.85769e+13	-5.87857e+13	-1.40363e+13	13321.6	2.60927	37.31	-114.29	-41.96	29.458646	28.488629	28.748242	29464.623	28482.637	28752.877	410681	1997580000.0	0.152428	0.034686	-0.226297	0.852207	0.471733	0.613924	0.584007	0.168785	-0.438024	0.882976	-0.118764	0.880264	0.459381	0.978472	0.182402	-0.096554	4.8022e+12	-6.67496e+12	11058	40817200.0	0.111601	0.007174	-0.168692	0.781957	0.600072	0.276556	0.211707	0.306308	-0.516622	0.799548	-0.25722	0.763759	0.592038	0.916522	0.387006	-0.10106	48037800000.0	-1.97485e+11	2.38917686989	4.06918297088	6.18467658628	7.51663011838	9.24516970076	4.43162195686	2.73206508306
137	2.60693645	0	-1	15	16996700000.0	975787	29456.8467164	28494.0251164	28751.6008432	50.86	-83.27	-74.68	63.74	63.18	41.80302	0.0422	9.36651	64.32	90.993951	66.24	0.097985	0.072945	-0.1263	0.8647	0.4861	0.697251	0.635961	0.117484	-0.39723	0.910168	0.247207	0.899362	0.360605	0.961814	-0.182634	-0.203859	173.86	33	1.0	3.72838e+13	-5.67659e+13	-1.48095e+13	13397.8	2.33841	30.54	-77.15	-78.77	29.456882	28.494009	28.751616	29461.767	28487.553	28756.251	396741	1929700000.0	0.142068	0.031013	-0.26378	0.852493	0.451305	0.620338	0.562562	0.095394	-0.439292	0.893265	0.066583	0.898164	0.43459	0.99321	-0.018019	-0.114929	4.70686e+12	-6.38206e+12	10964	40522900.0	0.113806	0.007385	-0.133636	0.795297	0.591308	0.275816	0.188208	0.243395	-0.538093	0.806979	-0.175553	0.793818	0.582266	0.953908	0.283389	-0.098748	47227100000.0	-1.95238e+11	2.26230930757	3.87064284564	5.92233242739	7.4426971894	9.01758486487	4.4157385567	2.6560480625
