#snum	redshift	ID	hostHalo	numSubStruct	Mvir	npart	Xc	Yc	Zc	VXc	VYc	VZc	Rvir	Rmax	r2	mbp_offset	com_offset	Vmax	v_esc	sigV	lambda	lambdaE	Lx	Ly	Lz	b	c	Eax	Eay	Eaz	Ebx	Eby	Ebz	Ecx	Ecy	Ecz	ovdens	nbins	fMhires	Ekin	Epot	SurfP	Phi0	cNFW	mbp_Vx	mbp_Vy	mbp_Vz	mbp_x	mbp_y	mbp_z	com_x	com_y	com_z	n_gas	M_gas	lambda_gas	lambdaE_gas	Lx_gas	Ly_gas	Lz_gas	b_gas	c_gas	Eax_gas	Eay_gas	Eaz_gas	Ebx_gas	Eby_gas	Ebz_gas	Ecx_gas	Ecy_gas	Ecz_gas	Ekin_gas	Epot_gas	n_star	M_star	lambda_star	lambdaE_star	Lx_star	Ly_star	Lz_star	b_star	c_star	Eax_star	Eay_star	Eaz_star	Ebx_star	Eby_star	Ebz_star	Ecx_star	Ecy_star	Ecz_star	Ekin_star	Epot_star	MDM(2.0Rstar0.5)	Mgas(2.0Rstar0.5)	MlowresDM(2.0Rstar0.5)	Mstar(2.0Rstar0.5)	Rstar0.5	Rstar0.75	Rstar0.9	Rstar0.95	Rstar0.99	Vc(2.0Rstar0.5)	cAnalytic
283	0.96249998	0	-1	100	69583100000.0	3078337	30019.2020949	31067.523196	28933.9881287	-16.93	81.7	-57.61	99.54	38.57	2.89446	0.08935	2.46375	79.6	104.893239	86.88	0.031913	0.027218	-0.4557	0.05499	0.8884	0.870291	0.736352	0.294942	0.848874	0.438659	0.934849	-0.35132	0.051292	-0.19765	-0.394951	0.897189	153.54	36	1.0	2.44742e+14	-3.74437e+14	-3.82549e+13	26837.5	5.40735	-46.26	23.4	-111.25	30.019287	31.067501	28.93397	30021.554	31067.379	28934.707	480697	2422780000.0	0.070859	0.003439	-0.69137	-0.114322	0.713399	0.849012	0.68037	0.267599	0.92119	0.282488	0.898676	-0.344363	0.271654	-0.347524	-0.181171	0.920002	1.28887e+13	-1.33088e+13	81811	295885000.0	0.009323	0.001065	-0.027349	0.187926	0.981802	0.87263	0.492157	-0.409359	0.90182	0.138371	0.874067	0.344151	0.342882	-0.261597	-0.261307	0.929132	6.97853e+11	-3.02455e+12	4571952081.05	286403484.178	0.0	195633864.149	4.12011382199	6.44973962903	9.43801906721	11.928945024	14.312381475	71.9486249987	6.95585196549
282	0.96865201	0	-1	115	69583100000.0	3081243	30019.5332083	31066.0843708	28936.7106888	-16.95	81.68	-57.59	99.6	38.5	60.00816	0.03847	2.98497	79.81	105.058498	87.07	0.032386	0.027549	-0.4624	0.04318	0.8856	0.86611	0.736211	0.280308	0.8504	0.44525	0.93844	-0.340329	0.059211	-0.201884	-0.401243	0.893447	153.73	36	1.0	2.45931e+14	-3.75401e+14	-3.85546e+13	27028.9	5.4454	28.16	87.44	-52.21	30.019526	31.066117	28.936729	30022.239	31064.899	28937.138	483097	2434590000.0	0.072173	0.001469	-0.683865	-0.126826	0.718501	0.851818	0.678578	0.24627	0.926556	0.284334	0.909513	-0.322296	0.262509	-0.334869	-0.193957	0.922086	1.33812e+13	-1.3307e+13	81552	294886000.0	0.009104	0.001037	-0.030008	0.202269	0.97887	0.856217	0.484906	-0.481827	0.868489	0.116489	0.836955	0.416756	0.354711	-0.259515	-0.268406	0.927691	7.16113e+11	-3.03618e+12	3703404424.19	256579912.139	0.0	177191580.44	3.5854665111	6.35746539576	9.96222641453	12.2480674686	14.3825378574	69.8905964045	6.93304675272
281	0.97484279	0	-1	111	69583100000.0	3086309	30020.2322153	31063.2811551	28939.0181419	-16.91	81.62	-57.52	99.71	38.09	2.06265	0.07797	3.03826	80.15	105.294715	87.19	0.03255	0.027593	-0.4698	0.03832	0.8819	0.859649	0.733976	0.276921	0.848148	0.451619	0.939357	-0.337899	0.058592	-0.202297	-0.408006	0.890285	153.91	36	1.0	2.47152e+14	-3.76549e+14	-3.91769e+13	26669.3	5.52673	-161.81	185.64	-44.24	30.020213	31.063356	28.939025	30022.939	31061.947	28939.373	482275	2430260000.0	0.072815	0.003756	-0.691132	-0.12442	0.711938	0.851083	0.67472	0.238782	0.925861	0.292856	0.91549	-0.315201	0.250053	-0.323823	-0.208398	0.922881	1.38009e+13	-1.33218e+13	81483	294748000.0	0.009054	0.001029	-0.047544	0.205488	0.977504	0.843658	0.479249	-0.500594	0.858748	0.109354	0.824523	0.434486	0.362469	-0.263757	-0.271615	0.925558	6.60552e+11	-2.9861e+12	4007178769.6	252194038.277	0.0	177670714.808	3.92481456736	6.78005484996	10.5822019392	12.6253146649	14.4559678214	69.2880992697	6.90915749537
280	0.9810726	0	-1	105	69583100000.0	3084146	30020.8036229	31062.041303	28941.6858025	-16.93	81.6	-57.48	99.77	38.25	47.22838	0.03594	3.8097	80.15	105.469675	87.27	0.032902	0.02769	-0.4764	0.02002	0.879	0.854513	0.732246	0.264209	0.846186	0.462778	0.941578	-0.330218	0.066237	-0.208866	-0.418241	0.883996	154.1	36	1.0	2.47756e+14	-3.75745e+14	-3.91872e+13	25534.7	5.46778	-99.63	32.94	-125.09	30.0208	31.062012	28.941706	30023.681	31059.547	28941.813	478023	2408840000.0	0.073583	0.00452	-0.680971	-0.12367	0.721793	0.847832	0.667001	0.22981	0.926502	0.297963	0.91722	-0.308551	0.251999	-0.325414	-0.215386	0.920714	1.39077e+13	-1.32258e+13	81439	294744000.0	0.009567	0.001079	-0.04527	0.187069	0.981303	0.811379	0.463285	-0.497476	0.860172	0.112342	0.824714	0.42881	0.36874	-0.269006	-0.276089	0.922719	5.71573e+11	-2.87138e+12	5136947666.41	271483692.28	0.0	183167202.833	4.90183703531	7.81996007472	11.3407992208	13.0428293584	14.5596045406	69.7098043796	6.88637180026
279	0.98734182	0	-1	106	69583100000.0	3081884	30021.4550405	31059.7112412	28944.0599743	-16.9	81.53	-57.45	99.83	35.47	16.15554	0.03898	4.1559	80.4	105.648982	87.38	0.033066	0.027728	-0.4773	0.01068	0.8787	0.850338	0.730599	0.258245	0.843472	0.471024	0.941343	-0.329322	0.07362	-0.217216	-0.424383	0.879043	154.28	36	1.0	2.48529e+14	-3.76082e+14	-3.89883e+13	25027.6	5.52375	72.78	115.74	-65.12	30.021472	31.059676	28.944064	30024.41	31056.789	28944.073	473148	2384210000.0	0.073727	0.004841	-0.674254	-0.118957	0.728855	0.844497	0.656951	0.227777	0.927038	0.297855	0.91559	-0.308018	0.258496	-0.33138	-0.213834	0.918946	1.39829e+13	-1.32008e+13	81415	294842000.0	0.00994	0.001122	-0.050891	0.175651	0.983136	0.791366	0.451422	-0.49201	0.862988	0.114794	0.826209	0.421288	0.374024	-0.274417	-0.278868	0.920287	5.03652e+11	-2.81281e+12	5773910604.83	269219066.475	0.0	182755772.754	5.44502462873	8.86284060705	11.8905187198	13.3417911172	14.6528288251	69.9023916069	6.86351215354
278	0.99365079	0	-1	103	69583100000.0	3079588	30022.0937958	31057.1518718	28946.3618192	-16.87	81.45	-57.4	99.9	33.79	15.2048	0.05789	4.37628	80.71	105.840658	87.53	0.033266	0.027832	-0.4785	0.003497	0.8781	0.847093	0.729173	0.254355	0.838373	0.482114	0.94043	-0.330701	0.078919	-0.225599	-0.433322	0.872547	154.46	36	1.0	2.49573e+14	-3.77063e+14	-3.88912e+13	24831.1	5.60582	1.03	89.55	-86.32	30.022041	31.057137	28.946344	30025.119	31053.99	28946.316	467774	2357090000.0	0.073723	0.004892	-0.66898	-0.116966	0.73402	0.84374	0.649133	0.231865	0.925084	0.300762	0.913905	-0.31307	0.258388	-0.33319	-0.214957	0.918029	1.40049e+13	-1.32031e+13	81358	294786000.0	0.010207	0.001152	-0.063183	0.169751	0.98346	0.776785	0.442573	-0.495185	0.86167	0.110981	0.821375	0.422704	0.382967	-0.283079	-0.280797	0.917071	4.62369e+11	-2.78169e+12	6029031660.77	260237729.668	0.0	176731153.4	5.68263774311	9.68967799049	12.4072312141	13.5814616129	14.6973484517	69.8429440581	6.84057721398
277	1.0	0	-1	101	69583100000.0	3082786	30022.6714157	31054.1429354	28948.5829006	-16.85	81.34	-57.35	100.0	33.01	12.03168	0.06508	4.38398	81.17	106.059743	87.77	0.033338	0.027852	-0.4773	-0.00355	0.8787	0.845127	0.728359	0.255914	0.830378	0.494955	0.93854	-0.336102	0.078605	-0.231628	-0.444418	0.865356	154.64	36	1.0	2.5133e+14	-3.79164e+14	-3.96059e+13	24748.7	5.74312	-2.37	65.44	-80.35	30.022666	31.054201	28.948612	30025.805	31051.077	28948.529	466170	2348810000.0	0.073434	0.005216	-0.659851	-0.119142	0.741891	0.844714	0.665148	0.239324	0.920893	0.307702	0.916469	-0.318909	0.241623	-0.320638	-0.224173	0.920292	1.42097e+13	-1.32858e+13	81352	294988000.0	0.010248	0.001157	-0.082964	0.175973	0.980893	0.767748	0.436734	-0.508117	0.854992	0.10395	0.81069	0.434014	0.392954	-0.290857	-0.283938	0.913664	4.44924e+11	-2.78073e+12	6115792577.48	244900768.735	0.0	170251558.971	5.74887265126	10.0147406968	12.7968235492	13.8202821258	14.7467654409	69.8983258864	6.81708293615
276	1.00636935	0	-1	106	69583100000.0	3093618	30023.1386877	31050.9063936	28950.6392567	-16.79	81.27	-57.32	100.16	32.75	47.01533	0.03474	4.34358	81.49	106.329274	88.07	0.033434	0.027876	-0.4767	-0.01117	0.879	0.841879	0.72868	0.264831	0.820562	0.5065	0.935629	-0.345777	0.070974	-0.233375	-0.4551	0.859314	154.83	36	1.0	2.53971e+14	-3.82409e+14	-4.14973e+13	24832.3	5.79087	3.19	89.73	-67.72	30.023106	31.050907	28.950652	30026.402	31048.04	28950.69	467783	2356650000.0	0.072828	0.005584	-0.652181	-0.122426	0.748112	0.843361	0.703222	0.244781	0.917582	0.313251	0.923161	-0.319331	0.214014	-0.296406	-0.236795	0.925241	1.45379e+13	-1.34517e+13	81376	295297000.0	0.010203	0.001151	-0.108763	0.193752	0.975003	0.760993	0.434373	-0.533728	0.840694	0.091483	0.790817	0.457865	0.406162	-0.299571	-0.289126	0.90921	4.47727e+11	-2.79784e+12	6323618684.52	228951072.747	0.0	169666577.939	5.84212725156	10.1543506823	13.0450299005	13.9857711996	14.8017456981	70.4582634527	6.79250576579
275	1.01277959	0	-1	104	69583100000.0	3107100	30023.7549965	31047.843797	28953.0075933	-16.73	81.22	-57.3	100.34	28.33	73.48894	0.06541	4.28959	81.71	106.626449	88.44	0.033575	0.027928	-0.4759	-0.01883	0.8793	0.83838	0.72872	0.274494	0.810751	0.517045	0.931598	-0.35746	0.065939	-0.238283	-0.463578	0.853415	155.01	36	1.0	2.57197e+14	-3.86299e+14	-4.2405e+13	24994.3	5.78789	-5.94	91.93	-64.93	30.023729	31.047903	28.953014	30027.041	31045.087	28953.002	470639	2370720000.0	0.07189	0.005826	-0.647613	-0.14428	0.748185	0.84152	0.739231	0.240949	0.918228	0.314327	0.935623	-0.305849	0.176255	-0.257978	-0.251624	0.932809	1.49457e+13	-1.37204e+13	81364	295469000.0	0.010168	0.001143	-0.122933	0.19367	0.973334	0.757558	0.433154	-0.55006	0.830571	0.087098	0.777025	0.470781	0.417848	-0.306048	-0.297519	0.904332	4.66601e+11	-2.82624e+12	6468269606.56	220872146.35	0.0	170074398.027	5.84896952275	10.1643921555	13.1492107992	14.04588544	14.8484924703	71.244408585	6.76757581201
274	1.01923084	0	-1	103	69583100000.0	3125023	30024.2657731	31044.8067834	28955.4532359	-16.65	81.2	-57.25	100.56	26.22	0.92384	0.05373	4.3342	82.05	106.947636	88.87	0.033748	0.027997	-0.4743	-0.02723	0.8799	0.834835	0.727588	0.288528	0.7987	0.528043	0.924595	-0.375696	0.063058	-0.248748	-0.470032	0.846873	155.19	36	1.0	2.61116e+14	-3.91041e+14	-4.32768e+13	25283.5	5.82445	-11.0	43.7	-60.54	30.024319	31.04481	28.955462	30027.677	31042.134	28955.401	475195	2393280000.0	0.071581	0.005917	-0.642619	-0.173865	0.746199	0.839823	0.770091	0.23659	0.923087	0.303209	0.945822	-0.29023	0.145561	-0.222366	-0.252344	0.941741	1.53972e+13	-1.41071e+13	81390	295822000.0	0.010259	0.00115	-0.131935	0.183657	0.974096	0.752423	0.430198	-0.565891	0.819855	0.087204	0.763456	0.481133	0.430866	-0.311291	-0.3104	0.898193	5.02025e+11	-2.87416e+12	6474468578.97	214422150.272	0.0	171246097.986	5.72956721161	9.9638094555	13.1267120948	14.0623371787	14.8287610796	72.1030399685	6.74199199627
