#snum	redshift	ID	hostHalo	numSubStruct	Mvir	npart	Xc	Yc	Zc	VXc	VYc	VZc	Rvir	Rmax	r2	mbp_offset	com_offset	Vmax	v_esc	sigV	lambda	lambdaE	Lx	Ly	Lz	b	c	Eax	Eay	Eaz	Ebx	Eby	Ebz	Ecx	Ecy	Ecz	ovdens	nbins	fMhires	Ekin	Epot	SurfP	Phi0	cNFW	mbp_Vx	mbp_Vy	mbp_Vz	mbp_x	mbp_y	mbp_z	com_x	com_y	com_z	n_gas	M_gas	lambda_gas	lambdaE_gas	Lx_gas	Ly_gas	Lz_gas	b_gas	c_gas	Eax_gas	Eay_gas	Eaz_gas	Ebx_gas	Eby_gas	Ebz_gas	Ecx_gas	Ecy_gas	Ecz_gas	Ekin_gas	Epot_gas	n_star	M_star	lambda_star	lambdaE_star	Lx_star	Ly_star	Lz_star	b_star	c_star	Eax_star	Eay_star	Eaz_star	Ebx_star	Eby_star	Ebz_star	Ecx_star	Ecy_star	Ecz_star	Ekin_star	Epot_star	cAnalytic
277	1.0	0	-1	408	2737750000000.0	38074271	47187.27491687	51794.82403592	51547.1518708	-184.74	140.49	140.97	343.98	15.8	0.17387	0.009470000000000001	9.78917	461.82	370.019071	427.49	0.012641	0.019403	-0.002206	0.8398	-0.5429	0.952048	0.850023	0.18949000000000002	-0.204675	0.960313	-0.306768	0.916733	0.255918	0.932731	0.343088	-0.110924	155.59	43	0.997611	2.5016e+17	-4.70941e+17	-1.43588e+16	4252460.0	39.2216	-248.8	153.51	33.64	47.187272	51.794833000000004	51.547152000000004	47193.261	51787.310999999994	51549.03400000001	9616739	226613000000.0	0.044875	0.010752	-0.10538900000000001	0.45516899999999993	-0.8841459999999999	0.969359	0.891431	0.30080300000000004	0.089039	0.949521	-0.5624020000000001	0.8206459999999999	0.101212	0.770208	0.564458	-0.296929	1.42559e+16	-1.96356e+16	9057269	195037000000.0	0.005377000000000001	0.00609	-0.9707610000000001	0.014293	0.239621	0.8102229999999999	0.47590299999999996	-0.18045899999999998	-0.473358	0.862187	0.887257	0.29998600000000003	0.350405	-0.42451099999999997	0.8282149999999999	0.36585500000000004	7.55084e+16	-1.95692e+17	4.828558781259227
276	1.00636935	0	-1	386	2730480000000.0	37973807	47193.99856271	51789.27498229	51541.69025067	-185.09	139.69	140.08	343.81	16.02	0.13345	0.01031	9.77587	460.36	370.207653	428.0	0.012439	0.019087	-0.007084	0.8448	-0.535	0.949174	0.845972	0.186851	-0.17969200000000002	0.965814	-0.317182	0.919442	0.23242800000000002	0.929775	0.34976799999999997	-0.114804	155.77	43	0.997659	2.5009e+17	-4.70347e+17	-1.43352e+16	4250390.0	38.7806	-184.94	90.67	85.77	47.193995	51.789284	51.541686	47200.042	51781.915	51543.899000000005	9587478	225924000000.0	0.044373	0.010648000000000001	-0.113449	0.4535	-0.884006	0.9641290000000001	0.887193	0.30637	0.07713300000000001	0.948782	-0.5601119999999999	0.8205129999999999	0.11416	0.769683	0.5664	-0.294584	1.41914e+16	-1.95789e+16	9036325	194550000000.0	0.005381	0.006093	-0.9708829999999999	0.016183000000000003	0.239008	0.8215389999999999	0.489775	-0.091793	-0.46192799999999995	0.8821540000000001	0.880885	0.37543699999999997	0.28825300000000004	-0.464345	0.8035359999999999	0.37244299999999997	7.56225e+16	-1.95565e+17	4.816297392348602
275	1.01277959	0	-1	396	2722850000000.0	37871561	47200.87030311	51783.98440357	51536.34302842	-184.96	138.86	140.29	343.63	16.07	0.1679	0.01195	9.85454	460.37	370.380918	428.22	0.012267	0.018825	-0.007328	0.8488	-0.5287	0.9469489999999999	0.842097	0.185831	-0.16475	0.968671	-0.32401399999999997	0.920426	0.218704	0.927622	0.354505	-0.11766199999999999	155.94	43	0.99775	2.49642e+17	-4.6954e+17	-1.42902e+16	4252310.0	38.7261	-174.18	125.06	166.51	47.200871	51.783972999999996	51.53634	47206.880999999994	51776.577000000005	51538.817	9558575	225246000000.0	0.043961	0.010554000000000001	-0.118046	0.454696	-0.8827889999999999	0.9589790000000001	0.8828719999999999	0.307342	0.072497	0.948833	-0.556607	0.8224309999999999	0.11745499999999999	0.771835	0.564226	-0.29312	1.41753e+16	-1.95577e+16	9015645	194066000000.0	0.005372	0.0060869999999999995	-0.9707959999999999	0.0191	0.23914699999999997	0.826413	0.505445	-0.00019099999999999998	-0.438533	0.8987149999999999	0.862513	0.454708	0.222061	-0.506034	0.775196	0.378154	7.53479e+16	-1.95229e+17	4.8041085328245385
274	1.01923084	0	-1	398	2713880000000.0	37757478	47207.78771202	51778.66691965	51530.82915966	-184.59	139.14	140.46	343.38	0.0	0.20922	0.00315	9.94391	7.34	370.494861	428.78	0.012006000000000001	0.018417	-0.00875	0.8475	-0.5308	0.9449709999999999	0.839153	0.19027	-0.171119	0.9667040000000001	-0.326536	0.917596	0.226696	0.9258360000000001	0.358797	-0.11871400000000001	156.12	43	0.9978879999999999	2.49477e+17	-4.68636e+17	-1.42002e+16	4357930.0	-1.0	-177.68	158.72	143.76	47.207788	51.778667999999996	51.530832000000004	47213.725999999995	51771.245	51533.75	9529410	224545000000.0	0.043743000000000004	0.010487999999999999	-0.121741	0.45333599999999996	-0.8829870000000001	0.95396	0.879006	0.310737	0.065705	0.9482219999999999	-0.549403	0.8264879999999999	0.12277300000000001	0.775628	0.559106	-0.292919	1.41769e+16	-1.95303e+16	8993383	193564000000.0	0.005377000000000001	0.006093	-0.9707690000000001	0.023196	0.238894	0.827319	0.5203720000000001	0.099565	-0.402082	0.9101739999999999	0.831843	0.535572	0.1456	-0.546007	0.742625	0.387794	7.53139e+16	-1.94918e+17	4.792151424122045
273	1.02572346	0	-1	418	2701680000000.0	37610526	47214.6471882	51772.79081775	51525.39260207	-183.85	137.33	139.74	343.0	15.67	0.18531	0.0068200000000000005	9.685839999999999	463.26	370.46220800000003	429.71	0.011447	0.017586	-0.0424	0.8440000000000001	-0.5347	0.9425680000000001	0.8382620000000001	0.212579	-0.21731399999999998	0.952672	-0.31352399999999997	0.9082379999999999	0.277138	0.92548	0.3576	-0.12493900000000001	156.29	43	0.998074	2.49432e+17	-4.68194e+17	-1.39791e+16	4304750.0	39.4522	-145.16	200.21	177.05	47.214648	51.772797	51.52539	47220.52099999999	51765.975	51528.97900000001	9494297	223726000000.0	0.043255	0.0104	-0.133508	0.450668	-0.882652	0.94884	0.8764850000000001	0.323712	0.04799	0.944938	-0.53359	0.834002	0.140438	0.7813399999999999	0.549671	-0.295583	1.41585e+16	-1.9517e+16	8968925	192999000000.0	0.005397	0.006128	-0.9707469999999999	0.015538999999999999	0.2396	0.834144	0.48585900000000004	0.191519	-0.42417299999999997	0.8850979999999999	0.807808	0.580321	0.103317	-0.557465	0.6952010000000001	0.453793	7.57675e+16	-1.95281e+17	4.7807313333486166
272	1.03225815	0	-1	395	2690920000000.0	37481599	47221.35571138	51767.45342786	51519.73431129	-184.35	136.47	139.45	342.67	15.94	0.20379	0.01629	9.821660000000001	461.34	370.494735	430.27	0.010948000000000001	0.016848	-0.06812	0.8466	-0.5279	0.9397280000000001	0.836025	0.233121	-0.253425	0.938845	-0.295281	0.9014139999999999	0.316641	0.9265329999999999	0.351038	-0.13530699999999998	156.46	43	0.9983209999999999	2.49091e+17	-4.67779e+17	-1.37375e+16	4359900.0	38.941	-218.19	43.58	72.58	47.221351	51.767462	51.519721999999994	47227.236	51760.876	51524.049000000006	9464501	223001000000.0	0.042934	0.010324	-0.140623	0.451733	-0.881001	0.9437959999999999	0.8730100000000001	0.324705	0.044336	0.9447760000000001	-0.523971	0.840041	0.14065899999999998	0.7874140000000001	0.540708	-0.295996	1.40969e+16	-1.94359e+16	8945459	192480000000.0	0.005391	0.00614	-0.9699969999999999	0.014446	0.24268699999999999	0.8301639999999999	0.47698900000000005	0.292819	-0.38410900000000003	0.875624	0.754456	0.655406	0.035207	-0.5874119999999999	0.650311	0.481709	7.60596e+16	-1.95835e+17	4.769090300428247
271	1.03883505	0	-1	385	2681550000000.0	37371586	47228.34931911	51761.7646246	51514.50328939	-184.79	134.93	138.13	342.41	16.15	0.21891	0.00662	9.549380000000001	460.46	370.592129	430.76	0.010332	0.015924	-0.09443	0.8555	-0.509	0.935825	0.832465	0.244263	-0.267554	0.932068	-0.280611	0.9005569999999999	0.332047	0.92822	0.34265500000000004	-0.144894	156.64	43	0.9986719999999999	2.48782e+17	-4.67493e+17	-1.35292e+16	4446600.0	38.6814	-204.08	187.28	77.78	47.228351	51.76177	51.5145	47234.019	51755.667	51519.179000000004	9442066	222471000000.0	0.042457999999999996	0.010218999999999999	-0.15140499999999998	0.448531	-0.88085	0.938776	0.869274	0.314924	0.052587	0.947659	-0.519308	0.845297	0.125668	0.7944439999999999	0.5317029999999999	-0.293513	1.41105e+16	-1.94445e+16	8921398	191922000000.0	0.005374	0.006139	-0.9694809999999999	0.014915000000000001	0.24470999999999998	0.8168850000000001	0.488965	0.3706	-0.324527	0.870252	0.68395	0.729273	-0.019308000000000002	0.6283850000000001	-0.602364	-0.49222899999999997	7.58791e+16	-1.96037e+17	4.75723787671066
270	1.0454545	0	-1	376	2674240000000.0	37277921	47235.48584821	51756.62693805	51509.14161997	-184.17	134.69	138.5	342.22	16.41	0.15866	0.0059299999999999995	9.52466	458.96	370.785221	431.46	0.010071	0.015507	-0.1089	0.8617	-0.4957	0.934414	0.8281850000000001	0.246498	-0.271393	0.9303680000000001	-0.27373000000000003	0.9014059999999999	0.335468	0.929683	0.337362	-0.14790699999999998	156.81	43	0.9988610000000001	2.4892e+17	-4.66838e+17	-1.34002e+16	4516810.0	38.2337	-198.44	100.36	108.21	47.235479999999995	51.756626000000004	51.509142	47240.878	51750.539000000004	51514.099	9418611	221907000000.0	0.042256999999999996	0.010167	-0.155064	0.445984	-0.8815059999999999	0.9344299999999999	0.865392	0.30491	0.060312	0.950469	-0.512608	0.8514940000000001	0.11041400000000001	0.802659	0.520885	-0.290546	1.40531e+16	-1.93737e+16	8900596	191452000000.0	0.005379	0.006136	-0.9682790000000001	0.020761	0.24900799999999998	0.795995	0.504073	0.433183	-0.256871	0.863927	0.602837	0.795142	-0.06585	0.67003	-0.5493319999999999	-0.49929399999999996	7.65293e+16	-1.96143e+17	4.745067505572432
269	1.05211735	0	-1	379	2668710000000.0	37200070	47242.55676191	51750.93341233	51503.73298728	-184.08	134.36	138.89	342.12	0.0	0.16052	0.00314	9.30878	16.74	371.06208	430.92	0.009889	0.015234000000000001	-0.124	0.8655	-0.4852	0.934056	0.824161	0.24488000000000001	-0.263241	0.933133	-0.273405	0.9046290000000001	0.326949	0.930206	0.33518600000000004	-0.149554	156.98	43	0.9989680000000001	2.47784e+17	-4.65795e+17	-1.34183e+16	4560630.0	-1.0	-165.26	159.67	131.31	47.242558	51.750934	51.503735999999996	47247.825	51745.253	51508.894	9399280	221442000000.0	0.042024	0.010086	-0.16109400000000001	0.44344799999999995	-0.881704	0.9302219999999999	0.8618540000000001	0.292966	0.072497	0.95337	-0.507066	0.8571280000000001	0.090641	0.810589	0.509976	-0.28786999999999996	1.40298e+16	-1.93213e+16	8878644	190950000000.0	0.005372	0.006138	-0.9680340000000001	0.027726999999999998	0.249282	0.771209	0.520799	0.47712	-0.18739	0.8586280000000001	0.5113850000000001	0.853764	-0.09783700000000001	0.7147319999999999	-0.48576899999999995	-0.5031760000000001	7.59618e+16	-1.95859e+17	4.7326261002150805
268	1.05882347	0	-1	385	2663570000000.0	37126433	47249.69983549	51745.5830121	51498.23136918	-183.25	133.71	139.55	342.03	16.34	0.16247999999999999	0.00555	9.282810000000001	459.27	371.359624	430.74	0.009724	0.014957	-0.1357	0.8697	-0.4745	0.934667	0.820102	0.238263	-0.252773	0.93773	-0.275016	0.9084559999999999	0.314759	0.931449	0.332886	-0.14693499999999998	157.15	43	0.999051	2.47095e+17	-4.6436e+17	-1.34527e+16	4521570.0	38.13	-195.66	113.12	80.72	47.249699	51.745588	51.498234000000004	47254.79	51739.977999999996	51503.602999999996	9382398	221041000000.0	0.041719	0.010033	-0.165846	0.44050600000000006	-0.8822979999999999	0.926507	0.8582139999999999	0.28016399999999997	0.085378	0.956148	-0.500833	0.8627319999999999	0.069714	0.818947	0.49840200000000007	-0.284467	1.39803e+16	-1.92919e+16	8855784	190421000000.0	0.005374	0.006125	-0.9669260000000001	0.034145999999999996	0.252762	0.7425609999999999	0.540231	0.500264	-0.123557	0.8570120000000001	0.418013	0.90125	-0.114072	-0.758288	0.41530900000000004	0.502512	7.60493e+16	-1.95338e+17	4.7201403553637
267	1.06557381	0	-1	372	2658210000000.0	37050450	47256.82947955	51739.78518048	51492.59444545	-182.62	133.42	138.74	341.92	0.0	0.20636999999999997	0.00343	9.10598	33.26	371.648155	430.15	0.009459	0.014544	-0.1492	0.8712	-0.4677	0.93475	0.816591	0.229769	-0.23495700000000003	0.944458	-0.277446	0.914342	0.294962	0.932861	0.32981	-0.144899	157.32	43	0.999099	2.45923e+17	-4.62953e+17	-1.34472e+16	4550070.0	-1.0	-167.46	124.48	182.42	47.25683	51.739782	51.492596	47261.765	51734.584	51498.208	9365338	220633000000.0	0.041381	0.009929	-0.17363699999999999	0.43167	-0.8851620000000001	0.9226639999999999	0.854649	0.266514	0.100601	0.9585670000000001	-0.494317	0.8680459999999999	0.046336	0.827418	0.48618500000000003	-0.281075	1.39676e+16	-1.92516e+16	8833268	189902000000.0	0.005381	0.0061329999999999996	-0.966147	0.039591	0.254936	0.711326	0.560353	0.504853	-0.061640999999999994	0.861001	0.317848	0.940641	-0.119029	-0.802556	0.33375900000000003	0.494478	7.5626e+16	-1.94846e+17	4.707707431051005
266	1.07236838	0	-1	385	2652630000000.0	36972909	47263.8559164	51734.58964152	51487.46088431	-181.47	132.08	139.35	341.81	15.25	0.15229	0.00372	8.96964	466.22	371.92880099999996	429.68	0.009182	0.01411	-0.1676	0.8681	-0.4672	0.935881	0.813503	0.22319299999999997	-0.22503499999999999	0.948443	-0.277136	0.9181860000000001	0.283073	0.9345479999999999	0.32602800000000004	-0.142567	157.49	43	0.999149	2.44869e+17	-4.61489e+17	-1.3431e+16	4556210.0	39.7484	-167.12	141.46	134.57	47.263858	51.734590999999995	51.487458000000004	47268.643	51729.385	51492.97900000001	9348280	220230000000.0	0.041024	0.009812999999999999	-0.179271	0.427432	-0.8860950000000001	0.9195260000000001	0.8511989999999999	0.251417	0.116997	0.960781	-0.488962	0.872034	0.021761000000000003	0.8352879999999999	0.47525600000000007	-0.276452	1.39619e+16	-1.92105e+16	8811024	189385000000.0	0.005386999999999999	0.0061329999999999996	-0.963894	0.042542	0.262866	0.6779310000000001	0.58304	0.487863	-0.013231999999999999	0.87282	0.240564	0.9632040000000001	-0.119861	0.839118	-0.268445	-0.473095	7.54193e+16	-1.94339e+17	4.695328020636621
265	1.0792079	0	-1	376	2646440000000.0	36886190	47270.58913162	51729.21140269	51481.55009271	-182.44	132.28	139.85	341.67	16.4	0.1721	0.00884	9.17522	457.81	372.183212	429.81	0.008884999999999999	0.013635	-0.1748	0.8685	-0.4639	0.93711	0.810141	0.21585700000000002	-0.2197	0.9513870000000001	-0.275776	0.9209709999999999	0.275246	0.9366709999999999	0.321784	-0.13821	157.66	43	0.999186	2.44451e+17	-4.60272e+17	-1.34208e+16	4491790.0	37.498000000000005	-185.86	97.71	150.19	47.270590000000006	51.72922	51.481551	47275.46599999999	51724.189000000006	51487.481	9323862	219647000000.0	0.040784	0.009714	-0.18349000000000001	0.422951	-0.88738	0.916966	0.8482219999999999	0.235752	0.133183	0.962644	-0.48232299999999995	0.8759879999999999	-0.003073	0.8436739999999999	0.463581	-0.270753	1.39121e+16	-1.91111e+16	8791276	188933000000.0	0.005384000000000001	0.0061189999999999994	-0.962364	0.051227999999999996	0.266893	0.6417189999999999	0.604163	0.445876	0.030664999999999998	0.8945690000000001	0.249477	0.9555520000000001	-0.157102	0.859625	-0.293223	-0.418407	7.57613e+16	-1.94121e+17	4.683063221009332
264	1.08609271	0	-1	374	2640420000000.0	36798113	47277.52763649	51723.81984812	51475.9478081	-182.68	131.31	139.61	341.54	15.66	0.18257	0.00936	9.109119999999999	462.98	372.446982	429.94	0.008466	0.012980000000000002	-0.185	0.8694	-0.4581	0.9391870000000001	0.8071659999999999	0.20490799999999998	-0.21304499999999998	0.955314	-0.276472	0.9236790000000001	0.265291	0.938923	0.31847800000000004	-0.130369	157.83	43	0.9992219999999999	2.44034e+17	-4.59284e+17	-1.34036e+16	4495310.0	38.7381	-156.4	142.97	135.16	47.277531	51.723826	51.475953999999994	47282.325	51718.982	51481.994000000006	9295716	218973000000.0	0.040229	0.009568	-0.193422	0.4104	-0.891156	0.9159129999999999	0.8467030000000001	0.216763	0.149528	0.9647049999999999	-0.47486999999999996	0.8795569999999999	-0.029631	0.852943	0.451687	-0.261662	1.38346e+16	-1.90147e+16	8771844	188487000000.0	0.005344	0.006067	-0.959829	0.058422	0.274436	0.6279359999999999	0.6002460000000001	0.36401700000000003	0.060573	0.9294209999999999	0.89249	0.262702	-0.366674	-0.266371	0.962974	0.041567	7.58619e+16	-1.93899e+17	4.670789334193401
263	1.0930233	0	-1	368	2633020000000.0	36682030	47284.40018344	51718.69671232	51470.02258392	-183.15	131.54	139.47	341.35	16.06	0.18169000000000002	0.0039299999999999995	9.229410000000001	460.02	372.64756	429.35	0.007885	0.012095999999999999	-0.1991	0.8603	-0.4693	0.943391	0.805461	0.194364	-0.21318600000000001	0.957483	-0.273251	0.925695	0.261577	0.942102	0.312475	-0.121669	158.0	43	0.9992530000000001	2.42692e+17	-4.57777e+17	-1.33279e+16	4554010.0	37.9151	-163.55	94.61	138.15	47.284397	51.718694	51.470023	47289.157	51713.82	51476.25	9248938	217857000000.0	0.039148	0.009316	-0.206717	0.372239	-0.904824	0.9210229999999999	0.8506459999999999	0.187752	0.166015	0.9680850000000001	-0.467013	0.882164	-0.060707000000000004	0.864088	0.44071000000000005	-0.24316	1.37483e+16	-1.89244e+16	8750759	188006000000.0	0.005304	0.006029	-0.9574520000000001	0.058169000000000005	0.28267	0.644217	0.578055	0.265573	0.065349	0.961873	0.931434	0.240083	-0.27348	-0.24880100000000002	0.96855	0.002892	7.52239e+16	-1.93347e+17	4.658750757513072
262	1.10000002	0	-1	378	2623850000000.0	36534662	47291.26679152	51713.20383035	51464.52199506	-184.02	129.68	139.16	341.08	15.92	0.17429	0.00813	8.869860000000001	461.3	372.765479	429.93	0.00701	0.01075	-0.2575	0.8405	-0.4768	0.950066	0.8060649999999999	0.18972999999999998	-0.240286	0.9519790000000001	-0.26619899999999996	0.920686	0.285441	0.945061	0.30757199999999996	-0.11071800000000001	158.16	43	0.999276	2.42491e+17	-4.56862e+17	-1.3416e+16	4536060.0	38.2046	-167.2	141.26	184.89	47.291267	51.713198	51.464515999999996	47296.0	51708.594000000005	51470.44	9183642	216299000000.0	0.037394	0.008879000000000001	-0.235048	0.304751	-0.9229729999999999	0.9322540000000001	0.860967	0.147422	0.18848	0.970949	-0.456951	0.8836069999999999	-0.102146	0.8771899999999999	0.42861800000000005	-0.216389	1.36355e+16	-1.87745e+16	8728038	187515000000.0	0.005332	0.00606	-0.9551790000000001	0.019995	0.295354	0.705385	0.613775	0.14585599999999999	-0.006459	0.9892850000000001	0.924457	0.356975	-0.133967	-0.352285	0.934092	0.058038	7.56136e+16	-1.9336e+17	4.647007349160382
261	1.10702336	0	-1	388	2615130000000.0	36401162	47298.43101211	51708.60680876	51459.03076598	-184.57	129.14	139.77	340.82	15.83	0.17244	0.00817	8.79237	462.14	372.906329	430.04	0.006132	0.009412	-0.287	0.8179	-0.4987	0.9554469999999999	0.806643	0.189649	-0.2881	0.9386329999999999	-0.255943	0.908425	0.330541	0.9479059999999999	0.302923	-0.098544	158.33	43	0.9992989999999999	2.41811e+17	-4.56027e+17	-1.30463e+16	4536240.0	38.3762	-196.09	140.63	168.84	47.298431	51.708615	51.459032	47302.89599999999	51703.560999999994	51464.68	9130858	215039000000.0	0.03635	0.008623	-0.24700100000000003	0.256367	-0.9344870000000001	0.938199	0.866157	0.11983800000000001	0.20540300000000003	0.9713129999999999	-0.444958	0.88571	-0.132403	0.887497	0.41632700000000006	-0.197537	1.3532e+16	-1.86487e+16	8705350	187030000000.0	0.0053289999999999995	0.006069	-0.950376	-0.021705000000000002	0.310345	0.756175	0.662361	-0.06194500000000001	-0.21545799999999998	0.9745459999999999	0.9123479999999999	0.383698	0.142821	-0.40470300000000003	0.8979719999999999	0.172805	7.55513e+16	-1.93471e+17	4.635209324641641
260	1.11409402	0	-1	377	2607970000000.0	36287486	47305.46292723	51703.71718321	51453.37612013	-184.28	129.62	139.95	340.63	16.3	0.19009	0.00515	8.843630000000001	458.69	373.122173	430.08	0.005472	0.008398000000000001	-0.297	0.7939	-0.5305	0.959018	0.806114	0.191154	-0.327007	0.9254870000000001	-0.24465599999999998	0.897242	0.36756	0.95058	0.296687	-0.091507	158.5	43	0.999325	2.41196e+17	-4.54949e+17	-1.29778e+16	4563310.0	37.4286	-200.2	113.07	130.34	47.305468	51.703715	51.453376	47309.856	51698.489	51458.996	9082242	213883000000.0	0.035726999999999995	0.008454999999999999	-0.257056	0.2138	-0.94245	0.942052	0.8696860000000001	0.098414	0.224196	0.969562	-0.43063599999999996	0.8879379999999999	-0.16161099999999998	0.897144	0.401624	-0.18393199999999998	1.34633e+16	-1.85466e+16	8686871	186618000000.0	0.005309	0.006045	-0.948728	-0.024714	0.315127	0.739462	0.652524	-0.121224	-0.349117	0.929205	0.845735	0.453737	0.28081100000000003	-0.51965	0.819902	0.24025700000000003	7.56548e+16	-1.9334e+17	4.623183404123177
259	1.12121212	0	-1	376	2601600000000.0	36184150	47312.56262392	51698.60859534	51447.80273784	-183.81	129.32	140.51	340.48	15.31	0.20668000000000003	0.00425	8.76679	465.67	373.377579	430.27	0.0050100000000000006	0.007690000000000001	-0.3061	0.7751	-0.5527	0.961443	0.805229	0.192633	-0.35658	0.91419	-0.234498	0.887917	0.395744	0.9528399999999999	0.290609	-0.087425	158.66	43	0.999353	2.40818e+17	-4.54418e+17	-1.28374e+16	4623620.0	39.1343	-148.1	120.49	163.09	47.312567	51.698607	51.447803	47316.873	51693.393	51453.377	9038023	212822000000.0	0.03525	0.008311	-0.26905500000000004	0.179673	-0.946217	0.9442659999999999	0.8720120000000001	0.083061	0.24152300000000002	0.966834	-0.4138	0.890951	-0.18701700000000002	0.9065709999999999	0.384542	-0.17394500000000002	1.34286e+16	-1.84686e+16	8668519	186214000000.0	0.005292	0.006033	-0.9483309999999999	-0.022218	0.31650300000000003	0.717717	0.6337	-0.12228699999999999	-0.448322	0.885468	0.74468	0.54835	0.380479	0.656123	-0.705918	-0.2668	7.55799e+16	-1.93418e+17	4.61105264150787
258	1.12837839	0	-1	373	2595760000000.0	36086298	47319.61804769	51693.37142995	51442.14213904	-184.65	129.15	139.8	340.35	16.0	0.20257999999999998	0.0041600000000000005	8.75239	460.98	373.660352	430.37	0.004632	0.007103	-0.3326	0.7706	-0.5437	0.962764	0.80389	0.195945	-0.387394	0.9008510000000001	-0.22500900000000001	0.8763860000000001	0.42581499999999994	0.954451	0.286136	-0.08455599999999999	158.83	43	0.9993709999999999	2.4039e+17	-4.53489e+17	-1.28963e+16	4604820.0	37.8405	-200.81	149.87	140.67	47.319621000000005	51.693374	51.44214	47323.928	51688.255999999994	51447.787000000004	8995456	211808000000.0	0.034852999999999995	0.008206999999999999	-0.283953	0.1477	-0.9473940000000001	0.9458129999999999	0.873909	0.07320499999999999	0.254815	0.9642149999999999	-0.39464	0.8952979999999999	-0.206641	0.9159149999999999	0.36539099999999997	-0.166101	1.33899e+16	-1.84141e+16	8649901	185798000000.0	0.005292	0.006028	-0.947782	-0.012772	0.318664	0.695701	0.61115	-0.106216	-0.5312180000000001	0.840551	0.643038	0.608079	0.465556	0.758433	-0.589955	-0.277006	7.5491e+16	-1.93071e+17	4.598858501251788
257	1.13559318	0	-1	370	2590290000000.0	35993703	47326.85459356	51688.19329559	51436.4837196	-184.84	128.31	140.48	340.23	16.31	0.1978	0.00851	8.781939999999999	458.97	373.96297000000004	430.61	0.004325	0.00663	-0.3421	0.7787	-0.5259	0.9644590000000001	0.802134	0.200695	-0.417417	0.8862760000000001	-0.214961	0.8638709999999999	0.455542	0.955779	0.281939	-0.083646	158.99	43	0.9993879999999999	2.40156e+17	-4.52944e+17	-1.31186e+16	4551400.0	37.2398	-230.86	89.48	109.7	47.326851	51.688188000000004	51.436478	47331.054000000004	51683.114	51442.288	8957016	210883000000.0	0.034506	0.008095	-0.298933	0.125319	-0.94601	0.946314	0.87449	0.065636	0.267712	0.961261	-0.373691	0.8998280000000001	-0.22508699999999998	0.925228	0.344441	-0.159103	1.34205e+16	-1.84044e+16	8629907	185359000000.0	0.0052710000000000005	0.006006	-0.9484809999999999	-0.004978	0.316795	0.6822819999999999	0.59519	-0.082152	-0.596051	0.798733	0.54222	0.645716	0.537632	0.836211	-0.477257	-0.270144	7.52533e+16	-1.92823e+17	4.5866272100673005
