#snum	redshift	ID	hostHalo	numSubStruct	Mvir	npart	Xc	Yc	Zc	VXc	VYc	VZc	Rvir	Rmax	r2	mbp_offset	com_offset	Vmax	v_esc	sigV	lambda	lambdaE	Lx	Ly	Lz	b	c	Eax	Eay	Eaz	Ebx	Eby	Ebz	Ecx	Ecy	Ecz	ovdens	nbins	fMhires	Ekin	Epot	SurfP	Phi0	cNFW	mbp_Vx	mbp_Vy	mbp_Vz	mbp_x	mbp_y	mbp_z	com_x	com_y	com_z	n_gas	M_gas	lambda_gas	lambdaE_gas	Lx_gas	Ly_gas	Lz_gas	b_gas	c_gas	Eax_gas	Eay_gas	Eaz_gas	Ebx_gas	Eby_gas	Ebz_gas	Ecx_gas	Ecy_gas	Ecz_gas	Ekin_gas	Epot_gas	n_star	M_star	lambda_star	lambdaE_star	Lx_star	Ly_star	Lz_star	b_star	c_star	Eax_star	Eay_star	Eaz_star	Ebx_star	Eby_star	Ebz_star	Ecx_star	Ecy_star	Ecz_star	Ekin_star	Epot_star	Rstar0.5	Rstar0.75	Rstar0.9	Rstar0.95	Rstar0.99	cAnalytic	sRstar0.5
491	0.18939389	0	-1	172	1.21163e+11	5909575	27280.0897793	28624.7470061	31240.6342226	-88.58	-20.56	105.56	106.95	17.62	0.57276	0.05343	2.05113	102.93	107.657351	98.78	0.034763	0.038857	0.4113	0.2451	-0.8779	0.955339	0.858656	0.912787	-0.276614	0.300508	0.35561	0.900133	-0.251597	-0.200902	0.336518	0.919997	118.31	38	1.0	5.91105e+14	-1.02973e+15	-4.72408e+13	44347.4	16.0251	-116.02	-41.52	48.63	27.280076	28.624762	31.240585	27278.258	28625.399	31241.288	1049836	5579340000.0	0.046223	0.014903	0.224232	0.22328	-0.948613	0.990773	0.945161	0.153901	-0.161792	0.97475	-0.086488	0.980511	0.176404	0.984294	0.111453	-0.136909	2.63837e+13	-6.28782e+13	569213	2093840000.0	0.016766	0.004993	0.164156	-0.165659	-0.972425	0.88646	0.53677	0.955692	-0.169527	0.240653	0.243862	0.913845	-0.324681	-0.164877	0.368981	0.914696	7.41202e+12	-3.85453e+13	3.02130611459	5.0063865875	7.67608567069	10.1812736321	13.5637609782	11.3353590797	3.01123795412
490	0.1916509	0	-1	178	1.21049e+11	5904187	27281.971505	28625.5544534	31238.5969847	-88.55	-20.54	105.57	106.98	16.21	0.57366	0.02047	1.96914	103.55	107.694604	98.83	0.034616	0.03868	0.4114	0.2475	-0.8772	0.954735	0.85767	0.915201	-0.263349	0.305048	0.345013	0.903188	-0.255378	-0.208262	0.338968	0.917457	118.48	38	1.0	5.9122e+14	-1.02946e+15	-4.68623e+13	44896.1	16.3676	-80.14	-20.61	97.73	27.28198	28.625572	31.238602	27280.116	28625.91	31239.152	1049776	5577730000.0	0.046234	0.014926	0.217836	0.225836	-0.949498	0.993003	0.943621	0.130151	-0.002607	0.991491	-0.110691	0.993707	0.017143	0.985296	0.11198	-0.129043	2.62209e+13	-6.27997e+13	567953	2089200000.0	0.016808	0.005005	0.164451	-0.153897	-0.974306	0.922598	0.565251	0.979636	0.120413	0.160669	-0.055417	0.931283	-0.360057	-0.192984	0.343821	0.918991	7.39411e+12	-3.85128e+13	3.06618972111	5.04563525459	7.72523640443	10.037771021	12.8970343355	11.3148953622	3.00775903118
489	0.19391631	0	-1	175	1.20968e+11	5900245	27283.8326972	28626.3107057	31236.5758258	-88.52	-20.53	105.59	107.02	15.74	0.95072	0.02153	1.91142	103.65	107.741264	98.67	0.034497	0.038561	0.4118	0.2493	-0.8765	0.953919	0.856082	0.916129	-0.253648	0.310434	0.337756	0.905496	-0.2569	-0.215935	0.340205	0.915223	118.66	38	1.0	5.88901e+14	-1.02754e+15	-4.72741e+13	45041.2	16.4012	-118.47	-81.4	69.87	27.283854	28.626311	31.236573	27281.973	28626.411	31237.005	1050270	5579180000.0	0.046331	0.014994	0.210363	0.228663	-0.950505	0.994852	0.9423	0.08926	0.244718	0.965477	-0.140707	0.962723	-0.231011	0.986019	0.115229	-0.120366	2.57479e+13	-6.25152e+13	566422	2083140000.0	0.016833	0.005002	0.163513	-0.13939	-0.976644	0.94007	0.589679	0.852626	0.522358	0.013061	-0.482975	0.797391	-0.361805	-0.199407	0.302176	0.932162	7.28939e+12	-3.82898e+13	3.08837846269	5.05804753601	7.74452524231	9.81832286692	12.7327347927	11.2941041809	3.00659587009
488	0.19619051	0	-1	185	1.2088e+11	5895625	27285.6607366	28627.0322056	31234.5331829	-88.5	-20.51	105.6	107.05	15.24	0.28317	0.05106	1.86027	103.61	107.786483	98.4	0.034431	0.038475	0.4132	0.2502	-0.8756	0.953073	0.854617	0.913191	-0.254798	0.318058	0.341603	0.90418	-0.256449	-0.222239	0.342836	0.912729	118.84	38	1.0	5.85251e+14	-1.02365e+15	-4.72168e+13	44562.9	16.3564	-66.13	-14.01	114.19	27.285649	28.627038	31.234583	27283.832	28626.908	31234.849	1049993	5576920000.0	0.046507	0.014977	0.202274	0.231148	-0.951659	0.996736	0.941425	0.019676	0.611524	0.790981	-0.169378	0.781737	-0.600165	0.985355	0.122166	-0.11896	2.57192e+13	-6.21278e+13	565110	2077920000.0	0.016853	0.00499	0.1581	-0.125614	-0.979401	0.931172	0.601576	0.549259	0.827156	-0.118856	0.816521	-0.500968	0.286924	-0.177788	0.254644	0.950551	7.25859e+12	-3.80433e+13	3.07423878693	5.07434380997	7.77192060436	9.82797705819	12.7725654719	11.2733597136	3.00979300049
487	0.1984733	0	-1	193	1.20776e+11	5890213	27287.3859722	28627.8340219	31232.4062497	-88.48	-20.49	105.6	107.08	15.75	0.42101	0.06035	1.77164	102.92	107.826818	98.03	0.034483	0.038516	0.4155	0.2507	-0.8744	0.952075	0.853556	0.907811	-0.265229	0.324858	0.354808	0.898705	-0.257761	-0.223586	0.34926	0.90996	119.01	38	1.0	5.80325e+14	-1.0183e+15	-4.68747e+13	44350.2	15.9251	-61.16	-86.66	99.75	27.28742	28.627875	31.232435	27285.683	28627.429	31232.676	1049325	5572480000.0	0.046491	0.014872	0.194109	0.234072	-0.952645	0.995504	0.939418	-0.059003	0.87788	0.475232	0.161529	-0.461392	0.872368	0.985103	0.128236	-0.11458	2.59153e+13	-6.18399e+13	563977	2073880000.0	0.016839	0.004968	0.149374	-0.114757	-0.982099	0.908079	0.601086	0.261771	0.949621	-0.172327	0.955896	-0.23046	0.182071	-0.133184	0.212388	0.968067	7.30393e+12	-3.78571e+13	3.04503999131	5.07189403543	7.77204654734	10.1848922665	12.9393167271	11.2527487676	3.01734526046
486	0.20076481	0	-1	190	1.20671e+11	5884656	27289.1532018	28628.6188113	31230.2209177	-88.46	-20.47	105.62	107.12	17.22	0.75883	0.02937	1.76619	101.75	107.867274	97.59	0.034509	0.038501	0.4157	0.2527	-0.8737	0.950777	0.851731	0.902671	-0.274578	0.331349	0.365866	0.895051	-0.255003	-0.226556	0.351413	0.908395	119.19	38	1.0	5.74584e+14	-1.0115e+15	-4.75422e+13	44222.5	15.2275	-169.02	-126.9	134.68	27.289178	28.628633	31.230215	27287.544	28627.941	31230.488	1048826	5568690000.0	0.04649	0.014785	0.186726	0.236737	-0.953462	0.993396	0.937586	-0.104974	0.953608	0.282158	0.150477	-0.265227	0.952371	0.983025	0.142432	-0.115654	2.60462e+13	-6.15477e+13	562577	2068640000.0	0.016839	0.004944	0.141764	-0.11036	-0.983729	0.882921	0.587454	0.024155	0.983206	-0.180891	0.996342	-0.00884	0.084996	-0.08197	0.182283	0.979823	7.32597e+12	-3.75813e+13	3.04136724771	5.07305243728	7.7739700142	10.4427745278	13.4477091961	11.2321294494	3.02714353636
485	0.2030651	0	-1	194	1.20552e+11	5878353	27290.8369332	28629.3937502	31227.9892224	-88.42	-20.44	105.65	107.14	19.78	3.34198	0.06218	1.75989	100.36	107.904522	97.06	0.034498	0.038462	0.4147	0.2562	-0.8732	0.949366	0.849509	0.896949	-0.284435	0.338494	0.37615	0.893274	-0.246117	-0.232364	0.348079	0.908211	119.37	38	1.0	5.67866e+14	-1.00403e+15	-4.719e+13	43990.6	14.4254	-37.51	48.79	128.95	27.29086	28.629353	31.228029	27289.387	28628.441	31228.287	1048263	5564470000.0	0.046432	0.014694	0.179236	0.239378	-0.954239	0.991326	0.936139	-0.134511	0.972478	0.190246	0.145321	-0.170555	0.974573	0.980198	0.158737	-0.11838	2.61665e+13	-6.13093e+13	560894	2062030000.0	0.016797	0.004909	0.139075	-0.108725	-0.984295	0.8541	0.563573	-0.165936	0.970906	-0.172647	0.985483	0.169636	0.006797	-0.035886	0.169013	0.98496	7.2261e+12	-3.71906e+13	3.05583087345	5.03564085284	7.7162088185	10.3773660012	14.6237213606	11.2116236418	3.03526112067
484	0.2053743	0	-1	180	1.20405e+11	5870641	27292.4784026	28630.1153503	31225.7397988	-88.39	-20.41	105.68	107.16	21.33	1.52436	0.03464	1.75753	99.45	107.93312	96.54	0.034523	0.038454	0.4144	0.2602	-0.8721	0.947991	0.846814	0.88812	-0.299832	0.348343	0.391901	0.889978	-0.233138	-0.240115	0.34357	0.907912	119.55	38	1.0	5.61126e+14	-9.96178e+14	-4.73752e+13	43613.6	13.9023	67.13	79.99	58.28	27.292502	28.630107	31.225764	27291.228	28628.926	31226.075	1047251	5558010000.0	0.046382	0.014587	0.17325	0.241678	-0.954765	0.990084	0.935564	-0.174125	0.981418	0.080619	0.135919	-0.057133	0.989071	0.975298	0.18318	-0.123445	2.62853e+13	-6.09701e+13	559274	2055520000.0	0.01678	0.004882	0.140292	-0.105662	-0.984456	0.821134	0.535047	-0.306652	0.937703	-0.163335	0.951816	0.302692	-0.04923	-0.003277	0.170561	0.985342	7.03406e+12	-3.67129e+13	3.02847444016	4.8974711091	7.26103954294	9.25377653364	14.2678487956	11.1913615141	3.04116611833
483	0.2076923	0	-1	187	1.20207e+11	5860871	27294.0470731	28630.8278512	31223.4468565	-88.36	-20.38	105.69	107.16	23.65	0.74727	0.04635	1.78647	98.51	107.946808	96.11	0.034551	0.038432	0.4123	0.2651	-0.8716	0.946932	0.844338	0.880902	-0.314697	0.353521	0.40574	0.886691	-0.221707	-0.243693	0.33874	0.908773	119.72	38	1.0	5.55213e+14	-9.88474e+14	-4.67224e+13	42788.5	13.3852	0.71	-39.55	110.62	27.294064	28.630801	31.223481	27293.064	28629.396	31223.864	1045819	5549890000.0	0.04631	0.014445	0.166729	0.243677	-0.955418	0.989956	0.937134	-0.215	0.974857	-0.05855	0.117989	0.085441	0.989332	0.96946	0.205798	-0.133393	2.64982e+13	-6.05697e+13	557893	2050010000.0	0.016788	0.004864	0.141337	-0.104319	-0.98445	0.785397	0.503563	-0.409917	0.898312	-0.158126	0.911965	0.400414	-0.089382	0.016977	0.180845	0.983365	6.91071e+12	-3.63085e+13	3.02947785759	4.82980897921	7.11741220636	8.90722438522	12.9633184093	11.1715595497	3.04593916398
482	0.21001931	0	-1	185	1.20076e+11	5853379	27295.6512057	28631.4501133	31221.1525823	-88.32	-20.37	105.71	107.19	24.88	1.356	0.04965	1.82519	97.77	107.980204	95.68	0.034544	0.038388	0.4107	0.2667	-0.8719	0.943723	0.84067	0.875692	-0.323914	0.35811	0.414944	0.884076	-0.215014	-0.246951	0.336882	0.908584	119.9	38	1.0	5.49638e+14	-9.81863e+14	-4.66943e+13	42547.1	12.9704	-131.86	-56.89	203.53	27.295609	28.631477	31.221152	27294.917	28629.856	31221.654	1043995	5539300000.0	0.046187	0.014312	0.16201	0.245034	-0.955882	0.989336	0.938512	-0.254513	0.947786	-0.192159	0.08996	0.221044	0.971106	0.962876	0.229873	-0.141522	2.65337e+13	-6.01416e+13	556604	2045170000.0	0.016777	0.004843	0.143674	-0.10252	-0.9843	0.751163	0.473787	-0.487572	0.858792	-0.157321	0.872678	0.473881	-0.117771	0.026589	0.194712	0.9805	6.85853e+12	-3.60288e+13	3.02706704758	4.83165361214	7.12430901902	8.90728991698	12.888572962	11.1511111488	3.04967680558
